Model Name,Developed by,Funded by [optional],Shared by [optional],Model type,Language(s) (NLP),License,Finetuned from model [optional],Repository,Paper [optional],Demo [optional],Label Information,Training Data,Training Procedure,Preprocessing [optional],Training Hyperparameters,"Speeds, Sizes, Times [optional]",Testing Data,Factors,Metrics,Results,Summary,Model Examination [optional],Environmental Impact,Technical Specifications [optional],Model Architecture and Objective,Compute Infrastructure,Hardware,Software,Citation [optional],Glossary [optional],More Information [optional],Model Card Authors [optional],Model Card Contact,Direct Use,Downstream Use [optional],Out-of-Scope Use,"Bias, Risks, and Limitations",Recommendations,How to Get Started with the Model
manvik28/FinBERT_Tuned,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
evendivil/finetuning-sentiment-model-3000-samples,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
ScriptEdgeAI/MarathiSentiment-Bloom-560m,FIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
Manauu17/enhanced_roberta_sentiments_es,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,PIA
HerbertAIHug/finetuned_sentiment_analysis_modell,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
sismetanin/xlm_roberta_large-ru-sentiment-rureviews,NIA,NIA,NIA,U,FIA,NIA,FIA,NIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
arjuntheprogrammer/distilbert-base-multilingual-cased-sentiment-2,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,U,NIA,NIA,FIA,NIA,NIA,NIA,U,U,NIA,NIA,NIA,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
raygx/BERT-NepSA-T2,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,U,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
francisco-perez-sorrosal/dccuchile-distilbert-base-spanish-uncased-finetuned-with-spanish-tweets-clf-cleaned-ds,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
francisco-perez-sorrosal/distilbert-base-uncased-finetuned-with-spanish-tweets-clf-cleaned-ds,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
francisco-perez-sorrosal/dccuchile-distilbert-base-spanish-uncased-finetuned-with-spanish-tweets-clf,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
ruanchaves/mdeberta-v3-base-porsimplessent,NIA,NIA,NIA,FIA,FIA,NIA,NIA,U,NIA,NIA,FIA,NIA,NIA,NIA,U,NIA,NIA,NIA,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA
raygx/distilGPT-NepSA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
classla/bcms-bertic-parlasent-bcs-ter,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,U,PIA,U,U,U,U,U,U,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
Anthos23/FS-distilroberta-fine-tuned,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
luissgtorres/Bert_sentiment_analysis_Indata,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
warwickai/fin-perceiver,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,U,U,U,FIA,U,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
rohanrajpal/bert-base-en-es-codemix-cased,NIA,NIA,NIA,U,U,NIA,NIA,NIA,NIA,NIA,FIA,PIA,U,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,FIA,NIA,FIA
langecod/Financial_Phrasebank_RoBERTa,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
brema76/vaccine_event_it,NIA,NIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,FIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
kullackaan/sentiment-tweets,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
jayantapaul888/twitter-data-pysentimiento-robertuito-sentiment-finetuned-memes,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,U,FIA,NIA,NIA,NIA,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
santis2/phrasebank-sentiment-analysis,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,U,NIA,NIA,FIA,NIA,NIA,NIA,U,U,NIA,NIA,NIA,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
bardsai/finance-sentiment-de-base,U,U,NIA,FIA,U,NIA,NIA,NIA,NIA,NIA,FIA,U,U,NIA,U,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA
everyl12/crisis_sentiment_roberta,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,U,NIA,NIA,NIA,U,NIA,NIA,NIA,U,U,NIA,NIA,NIA,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
cardiffnlp/xlm-roberta-base-tweet-sentiment-de,NIA,NIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,FIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
Venkatesh4342/distilbert-helpdesk-sentence-sentiment,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,U,U,NIA,NIA,NIA,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
mrcaelumn/yelp_restaurant_review_sentiment_analysis,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
cardiffnlp/xlm-v-base-tweet-sentiment-es,NIA,NIA,NIA,NIA,U,NIA,FIA,NIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,FIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
Kapiche/twitter-roberta-base-sentiment-latest,NIA,NIA,NIA,FIA,FIA,NIA,NIA,FIA,FIA,NIA,FIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA
cardiffnlp/xlm-v-base-tweet-sentiment-it,NIA,NIA,NIA,NIA,U,NIA,FIA,NIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,FIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
bardsai/twitter-sentiment-pl-fast,NIA,NIA,NIA,FIA,U,NIA,NIA,NIA,NIA,NIA,FIA,U,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA
cardiffnlp/xlm-roberta-base-tweet-sentiment-en,NIA,NIA,NIA,NIA,U,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
svalabs/twitter-xlm-roberta-bitcoin-sentiment,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
DingYao/autotrain-fbert-singlish-5-1943965533,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA
bardsai/finance-sentiment-ja-base,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA
DunnBC22/distilbert-base-uncased-Financial_Sentiment_Analysis,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,U,U,NIA,FIA,NIA,U,NIA,FIA,FIA,NIA,NIA,NIA,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
DunnBC22/distilbert-base-uncased-US_Airline_Twitter_Sentiment_Analysis,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,U,U,NIA,FIA,NIA,U,NIA,FIA,FIA,NIA,NIA,NIA,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
cardiffnlp/xlm-roberta-base-tweet-sentiment-fr,NIA,NIA,NIA,NIA,U,NIA,FIA,NIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,FIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
GhylB/Sentiment_Analysis_DistilBERT,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
meghanabhange/Hinglish-Bert-Class,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
Abdelrahman-Rezk/emotion-english-distilroberta-base-fine_tuned_for_amazon_reviews_english_3,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
adnanakbr/emotion-english-distilroberta-base-fine_tuned_for_amazon_english_reviews_on_200K_review,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
yanezh/twiiter_try4_fold2,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
intanm/fin-sa-post-trained-indobert-base-finnews-5,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
dhikaardianto/TiktokSentimentIndoBertTwitter,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
tyqiangz/indobert-lite-large-p2-smsa,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,NIA,FIA,NIA,U,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,U
Nelver28/sentiment-analysis-positive-mixed-negative,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,U,FIA,NIA,NIA,NIA,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
kartashoffv/vashkontrol-sentiment-rubert,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,U,NIA,NIA,FIA,NIA,U,NIA,U,FIA,NIA,NIA,NIA,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA
zainalq7/autotrain-NLU_crypto_sentiment_analysis-754123133,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,U,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA
cardiffnlp/xlm-v-base-tweet-sentiment-fr,NIA,NIA,NIA,NIA,U,NIA,FIA,NIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,FIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
CK42/sentiment_analysis_sbcBI,NIA,NIA,NIA,NIA,FIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
adnanakbr/bert-base-multilingual-uncased-sentiment-fine_tuned_for_amazon_english_reviews_on_200K_review_v2,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
mirfan899/da_spacy_sentiment,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,U,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
cardiffnlp/xlm-v-base-tweet-sentiment-en,NIA,NIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
DunnBC22/bert-base-uncased-Twitter_Sentiment_Analysis_v2,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
TankuVie/bert-base-multilingual-uncased-vietnamese_sentiment_analysis,NIA,NIA,NIA,NIA,U,NIA,FIA,NIA,NIA,NIA,NIA,U,NIA,NIA,FIA,NIA,NIA,NIA,U,U,NIA,NIA,NIA,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
duwuonline/mymodel-classify-sentiment,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
Tobias/bert-base-german-cased_German_Hotel_sentiment,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,U,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
eevvgg/PaReS-sentimenTw-political-PL,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,U,NIA,NIA,NIA,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA
venetis/distilroberta-base-finetuned-3d-sentiment,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,U,FIA,NIA,NIA,NIA,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
A-Funakoshi/bert-finetuned-multilingual-sentiments,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
devtanumisra/finetuning-sentiment-model-deberta-smote,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,U,FIA,NIA,NIA,NIA,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
sasha/autotrain-BERTBase-TweetEval-1281248996,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,U,NIA,NIA,NIA,FIA,U,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA
