model,architectures,mappings
ProsusAI/finbert,BertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
yiyanghkust/finbert-tone,BertForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
cardiffnlp/twitter-roberta-base-sentiment-latest,RobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
cardiffnlp/twitter-xlm-roberta-base-sentiment,XLMRobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
cardiffnlp/twitter-roberta-base-sentiment,RobertaForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_1"": ""1"", ""LABEL_0"": ""0""}"
blanchefort/rubert-base-cased-sentiment,BertForSequenceClassification,"{""POSITIVE"": ""2"", ""NEUTRAL"": ""1"", ""NEGATIVE"": ""0""}"
finiteautomata/beto-sentiment-analysis,BertForSequenceClassification,"{""POS"": ""2"", ""NEG"": ""0"", ""NEU"": ""1""}"
mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,RobertaForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
HooshvareLab/bert-fa-base-uncased-sentiment-digikala,BertForSequenceClassification,"{""recommended"": ""2"", ""no_idea"": ""1"", ""not_recommended"": ""0""}"
ahmedrachid/FinancialBERT-Sentiment-Analysis,BertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
koheiduck/bert-japanese-finetuned-sentiment,BertForSequenceClassification,"{""POSITIVE"": ""2"", ""NEUTRAL"": ""1"", ""NEGATIVE"": ""0""}"
finiteautomata/bertweet-base-sentiment-analysis,RobertaForSequenceClassification,"{""POS"": ""2"", ""NEU"": ""1"", ""NEG"": ""0""}"
oliverguhr/german-sentiment-bert,BertForSequenceClassification,"{""positive"": ""2"", ""negative"": ""1"", ""neutral"": ""0""}"
christian-phu/bert-finetuned-japanese-sentiment,BertForSequenceClassification,"{""positive"": ""2"", ""negative"": ""0"", ""neutral"": ""1""}"
blanchefort/rubert-base-cased-sentiment-rusentiment,BertForSequenceClassification,"{""POSITIVE"": ""2"", ""NEGATIVE"": ""0"", ""NEUTRAL"": ""1""}"
climatebert/distilroberta-base-climate-sentiment,RobertaForSequenceClassification,"{""neutral"": ""1"", ""opportunity"": ""2"", ""risk"": ""0""}"
Seethal/sentiment_analysis_generic_dataset,DistilBertForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_1"": ""1"", ""LABEL_0"": ""0""}"
sbcBI/sentiment_analysis_model,DistilBertForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_1"": ""1"", ""LABEL_0"": ""0""}"
lxyuan/distilbert-base-multilingual-cased-sentiments-student,DistilBertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
snunlp/KR-FinBert-SC,BertForSequenceClassification,"{""neutral"": ""1"", ""negative"": ""0"", ""positive"": ""2""}"
soleimanian/financial-roberta-large-sentiment,RobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
RogerKam/roberta_RCADE_fine_tuned_sentiment_covid_news,RobertaForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_1"": ""1"", ""LABEL_0"": ""0""}"
amansolanki/autonlp-Tweet-Sentiment-Extraction-20114061,DistilBertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,XLMRobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
RecordedFuture/Swedish-Sentiment-Fear,BertForSequenceClassification,"{""LABEL_0"": ""0"", ""LABEL_1"": ""1"", ""LABEL_2"": ""2""}"
knkarthick/Sentiment-Analysis,RobertaForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
cardiffnlp/camembert-base-tweet-sentiment-fr,CamembertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
samayash/finetuning-financial-news-sentiment,DistilBertForSequenceClassification,"{""LABEL_1"": ""1"", ""LABEL_2"": ""2"", ""LABEL_0"": ""0""}"
sbcBI/sentiment_analysis,DistilBertForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_0"": ""0"", ""LABEL_1"": ""1""}"
yangheng/deberta-v3-base-absa-v1.1,DebertaForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
hakonmh/sentiment-xdistil-uncased,BertForSequenceClassification,"{""Neutral"": ""1"", ""Positive"": ""2"", ""Negative"": ""0""}"
avichr/heBERT_sentiment_analysis,BertForSequenceClassification,"{""positive"": ""2"", ""negative"": ""0"", ""neutral"": ""1""}"
hw2942/bert-base-chinese-finetuning-financial-news-sentiment-v2,BertForSequenceClassification,"{""Neutral"": ""1"", ""Positive"": ""2"", ""Negative"": ""0""}"
Sigma/financial-sentiment-analysis,BertForSequenceClassification,"{""LABEL_1"": ""1"", ""LABEL_2"": ""2"", ""LABEL_0"": ""0""}"
w11wo/indonesian-roberta-base-sentiment-classifier,RobertaForSequenceClassification,"{""positive"": ""2"", ""negative"": ""0"", ""neutral"": ""1""}"
j-hartmann/sentiment-roberta-large-english-3-classes,RobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
CAMeL-Lab/bert-base-arabic-camelbert-da-sentiment,BertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
fergusq/finbert-finnsentiment,BertForSequenceClassification,"{""POSITIVE"": ""2"", ""NEUTRAL"": ""1"", ""NEGATIVE"": ""0""}"
abnersampaio/sentiment,BertForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_0"": ""0"", ""LABEL_1"": ""1""}"
neuraly/bert-base-italian-cased-sentiment,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
citizenlab/twitter-xlm-roberta-base-sentiment-finetunned,XLMRobertaForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
MonoHime/rubert-base-cased-sentiment-new,BertForSequenceClassification,"{""POSITIVE"": ""2"", ""NEUTRAL"": ""1"", ""NEGATIVE"": ""0""}"
mdhugol/indonesia-bert-sentiment-classification,BertForSequenceClassification,"{""LABEL_0"": ""2"", ""LABEL_1"": ""1"", ""LABEL_2"": ""0""}"
Kyle1668/boss-sentiment-bert-base-uncased,BertForSequenceClassification,"{""LABEL_1"": ""2"", ""LABEL_2"": ""1"", ""LABEL_0"": ""0""}"
mwz/RomanUrduClassification,RobertaForSequenceClassification,"{""2"": ""2"", ""0"": ""0"", ""1"": ""1""}"
philschmid/distilbert-base-multilingual-cased-sentiment-2,DistilBertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
lucas-leme/FinBERT-PT-BR,BertForSequenceClassification,"{""NEUTRAL"": ""1"", ""NEGATIVE"": ""0"", ""POSITIVE"": ""2""}"
peerapongch/baikal-sentiment-ball,CamembertForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_1"": ""0"", ""LABEL_0"": ""1""}"
abhishek/autonlp-swahili-sentiment-615517563,BertForSequenceClassification,"{""0"": ""2"", ""1"": ""1"", ""-1"": ""0""}"
cointegrated/rubert-tiny-sentiment-balanced,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
Jean-Baptiste/roberta-large-financial-news-sentiment-en,RobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
seara/rubert-tiny2-russian-sentiment,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
mdraw/german-news-sentiment-bert,BertForSequenceClassification,"{""positive"": ""2"", ""negative"": ""0"", ""neutral"": ""1""}"
BVK97/Discord-NFT-Sentiment,RobertaForSequenceClassification,"{""Neutral"": ""1"", ""Positive"": ""2"", ""Negative"": ""0""}"
emre/turkish-sentiment-analysis,BertForSequenceClassification,"{""Positive"": ""2"", ""Notr"": ""1"", ""Negative"": ""0""}"
alexandrainst/da-sentiment-base,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
eevvgg/StanceBERTa,RobertaForSequenceClassification,"{""positive"": ""2"", ""negative"": ""0"", ""neutral"": ""1""}"
ayameRushia/roberta-base-indonesian-1.5G-sentiment-analysis-smsa,RobertaForSequenceClassification,"{""POSITIVE"": ""2"", ""NEUTRAL"": ""1"", ""NEGATIVE"": ""0""}"
Ammar-alhaj-ali/arabic-MARBERT-sentiment,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
yangheng/deberta-v3-large-absa-v1.1,DebertaForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
IAyoub/finetuning-bert-sentiment-reviews-2,DistilBertForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_1"": ""1"", ""LABEL_0"": ""0""}"
ayameRushia/bert-base-indonesian-1.5G-sentiment-analysis-smsa,BertForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
turing-usp/FinBertPTBR,BertForSequenceClassification,"{""NEUTRAL"": ""1"", ""POSITIVE"": ""2"", ""NEGATIVE"": ""0""}"
Voicelab/herbert-base-cased-sentiment,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
Tejas3/distillbert_base_uncased_80_equal,DistilBertForSequenceClassification,"{""POSITIVE"": ""2"", ""NEUTRAL"": ""1"", ""NEGATIVE"": ""0""}"
l3cube-pune/marathi-sentiment-md,BertForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
shashanksrinath/News_Sentiment_Analysis,RobertaForSequenceClassification,"{""Neutral"": ""1"", ""Positive"": ""2"", ""Negative"": ""0""}"
CAMeL-Lab/bert-base-arabic-camelbert-mix-sentiment,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
Jorgeutd/bert-base-uncased-finetuned-surveyclassification,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
cardiffnlp/twitter-roberta-base-dec2021-sentiment,RobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
larskjeldgaard/senda,BertForSequenceClassification,"{""positiv"": ""2"", ""negativ"": ""0"", ""neutral"": ""1""}"
Souvikcmsa/BERT_sentiment_analysis,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
cardiffnlp/xlm-twitter-politics-sentiment,XLMRobertaForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
rohanrajpal/bert-base-multilingual-codemixed-cased-sentiment,BertForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_0"": ""0"", ""LABEL_1"": ""1""}"
hilmansw/indobert-finetuned-sentiment-happiness-index,BertForSequenceClassification,"{""netral"": ""1"", ""positif"": ""2"", ""negatif"": ""0""}"
FinanceInc/auditor_sentiment_finetuned,BertForSequenceClassification,"{""Neutral"": ""1"", ""Positive"": ""2"", ""Negative"": ""0""}"
pysentimiento/roberta-targeted-sentiment-analysis,RobertaForSequenceClassification,"{""POS"": ""2"", ""NEU"": ""1"", ""NEG"": ""0""}"
RecordedFuture/Swedish-Sentiment-Violence,BertForSequenceClassification,"{""LABEL_0"": ""0"", ""LABEL_2"": ""2"", ""LABEL_1"": ""1""}"
poerwiyanto/bert-base-indonesian-522M-finetuned-sentiment,BertForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_1"": ""1"", ""LABEL_0"": ""0""}"
MarieAngeA13/Sentiment-Analysis-BERT,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
poom-sci/WangchanBERTa-finetuned-sentiment,CamembertForSequenceClassification,"{""pos"": ""2"", ""neu"": ""1"", ""neg"": ""0""}"
xaqren/sentiment_analysis,DistilBertForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_0"": ""0"", ""LABEL_1"": ""1""}"
Davlan/naija-twitter-sentiment-afriberta-large,XLMRobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
bardsai/finance-sentiment-zh-base,BertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
seara/rubert-base-cased-russian-sentiment,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
blanchefort/rubert-base-cased-sentiment-med,BertForSequenceClassification,"{""POSITIVE"": ""2"", ""NEUTRAL"": ""1"", ""NEGATIVE"": ""0""}"
hanifnoerr/Fine-tuned-Indonesian-Sentiment-Classifier,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
RashidNLP/Finance-Sentiment-Classification,DebertaV2ForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
RogerKam/roberta_fine_tuned_sentiment_newsmtsc,RobertaForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_1"": ""1"", ""LABEL_0"": ""0""}"
abnersampaio/sentimentv2,BertForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_0"": ""0"", ""LABEL_1"": ""1""}"
cardiffnlp/xlm-roberta-base-tweet-sentiment-pt,XLMRobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
aari1995/German_Sentiment,BertForSequenceClassification,"{""positive"": ""2"", ""negative"": ""0"", ""neutral"": ""1""}"
ncduy/phobert-large-finetuned-vietnamese_students_feedback,RobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
ZiweiChen/FinBERT-FOMC,BertForSequenceClassification,"{""Neutral"": ""1"", ""Negative"": ""0"", ""Positive"": ""2""}"
JP040/bert-german-sentiment-twitter,BertForSequenceClassification,"{""positive"": ""2"", ""negative"": ""0"", ""neutral"": ""1""}"
alger-ia/dziribert_sentiment,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
blanchefort/rubert-base-cased-sentiment-rurewiews,BertForSequenceClassification,"{""POSITIVE"": ""2"", ""NEUTRAL"": ""1"", ""NEGATIVE"": ""0""}"
z-dickson/multilingual_sentiment_newspaper_headlines,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
rasmodev/Covid-19_Sentiment_Analysis_RoBERTa_Model,RobertaForSequenceClassification,"{""LABEL_1"": ""0"", ""LABEL_2"": ""2"", ""LABEL_0"": ""1""}"
CAMeL-Lab/bert-base-arabic-camelbert-msa-sentiment,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
