Model Name,Training Data,Training Procedure,Preprocessing [optional],Training Hyperparameters,"Speeds, Sizes, Times [optional]"
oferweintraub/bert-base-finance-sentiment-noisy-search,FIA,FIA,NIA,FIA,NIA
nimaafshar/parsbert-fa-sentiment-twitter,PIA,NIA,NIA,NIA,NIA
KBLab/robust-swedish-sentiment-multiclass,PIA,PIA,NIA,NIA,NIA
mstafam/fine-tuned-bert-financial-sentiment-analysis,FIA,PIA,NIA,FIA,NIA
traptrip/rosatom_survey_sentiment_classifier,NIA,NIA,NIA,NIA,NIA
philschmid/distilbert-base-multilingual-cased-sentiment,PIA,NIA,NIA,FIA,NIA
IsaacSarps/sentiment_analysis,NIA,NIA,NIA,FIA,NIA
Venkatesh4342/distilbert-helpdesk-sentiment,NIA,NIA,NIA,FIA,NIA
m3hrdadfi/albert-fa-base-v2-sentiment-multi,PIA,PIA,NIA,NIA,NIA
hw2942/bert-base-chinese-finetuning-financial-news-sentiment,NIA,NIA,NIA,NIA,NIA
bardsai/finance-sentiment-zh-fast,PIA,PIA,NIA,PIA,NIA
EMBEDDIA/rubert-tweetsentiment,NIA,NIA,NIA,NIA,NIA
ramnika003/autotrain-sentiment_analysis_project-705021428,PIA,PIA,NIA,NIA,NIA
pysentimiento/roberta-es-sentiment,NIA,NIA,NIA,NIA,NIA
Softechlb/Sent_analysis_CVs,PIA,PIA,NIA,NIA,NIA
mdeniz1/turkish-sentiment-analysis-bert-base-turkish-uncased,NIA,PIA,NIA,FIA,NIA
ganeshkharad/gk-hinglish-sentiment,PIA,PIA,NIA,NIA,NIA
akahana/indonesia-sentiment-roberta,NIA,NIA,NIA,NIA,NIA
sahri/indonesiasentiment,FIA,PIA,NIA,NIA,NIA
Venkatesh4342/xlm-roberta-helpdesk-sentiment,NIA,NIA,NIA,FIA,NIA
KernAI/stock-news-distilbert,PIA,PIA,NIA,NIA,NIA
CAMeL-Lab/bert-base-arabic-camelbert-ca-sentiment,FIA,PIA,PIA,PIA,PIA
Cristian-dcg/beto-sentiment-analysis-finetuned-onpremise,NIA,NIA,NIA,FIA,NIA
cardiffnlp/twitter-roberta-base-2021-124m-sentiment,PIA,PIA,PIA,PIA,NIA
RashidNLP/Amazon-Deberta-Base-Sentiment,PIA,PIA,NIA,NIA,NIA
sudhanvasp/Sentiment-Analysis,PIA,PIA,FIA,PIA,NIA
dnzblgn/BART_Sentiment_Classification,PIA,PIA,PIA,PIA,NIA
MMG/xlm-roberta-base-sa-spanish,NIA,NIA,NIA,NIA,NIA
cardiffnlp/xlm-roberta-base-sentiment-multilingual,PIA,PIA,NIA,PIA,NIA
cardiffnlp/bertweet-base-sentiment,NIA,NIA,NIA,NIA,NIA
slisowski/stock_sentiment_hp,NIA,PIA,NIA,FIA,NIA
yj2773/hinglish11k-sentiment-analysis,PIA,NIA,NIA,NIA,NIA
bardsai/twitter-sentiment-pl-base,PIA,PIA,NIA,NIA,NIA
giotvr/portuguese-nli-3-labels,,,,,
mrfakename/distilroberta-financial-news-tweets-sentiment-analysis,,,,,
kinit/slovakbert-sentiment-twitter,FIA,PIA,PIA,PIA,NIA
clips/republic,PIA,PIA,NIA,PIA,NIA
Sonny4Sonnix/twitter-roberta-base-sentimental-analysis-of-covid-tweets,NIA,NIA,NIA,PIA,NIA
TFLai/turkish-bert-128k-sentiment,NIA,NIA,NIA,NIA,NIA
zabiullah/autotrain-customers_email_sentiment-3449294006,NIA,PIA,NIA,NIA,NIA
RogerKam/roberta_fine_tuned_sentiment_sst3,PIA,PIA,NIA,FIA,NIA
nikunjbjj/jd-resume-model,PIA,PIA,NIA,NIA,NIA
amphora/KorFinASC-XLM-RoBERTa,FIA,NIA,NIA,NIA,NIA
QuophyDzifa/Sentiment-Analysis-Model,NIA,PIA,NIA,FIA,NIA
Vasanth/bert-stock-sentiment-analyzer,PIA,NIA,NIA,FIA,NIA
dogruermikail/bert-fine-tuned-stock-sentiment-uncased,FIA,PIA,NIA,PIA,NIA
atowey01/hostel-reviews-sentiment-model,PIA,NIA,NIA,FIA,NIA
mr4/phobert-base-vi-sentiment-analysis,FIA,NIA,NIA,NIA,NIA
cardiffnlp/roberta-base-tweet-sentiment-en,PIA,NIA,NIA,NIA,NIA
ka05ar/banglabert-sentiment,PIA,NIA,NIA,NIA,NIA
l3cube-pune/MarathiSentiment,NIA,NIA,NIA,NIA,NIA
aisyahhrazak/distilbert-mooc-review-sentiment,NIA,NIA,NIA,NIA,NIA
gsl22/sentiment-analysis-v1,PIA,NIA,NIA,FIA,NIA
m3hrdadfi/albert-fa-base-v2-sentiment-digikala,PIA,PIA,NIA,NIA,NIA
tkurtulus/TurkishAirlines-SentimentAnalysisModel,,,,,
sismetanin/sbert-ru-sentiment-rureviews,PIA,NIA,NIA,NIA,NIA
abnersampaio/sentiment3.5,NIA,NIA,NIA,NIA,NIA
arize-ai/distilbert_reviews_with_language_drift,PIA,NIA,NIA,FIA,NIA
deepset/bert-base-german-cased-sentiment-Germeval17,NIA,NIA,NIA,NIA,NIA
venetis/electra-base-discriminator-finetuned-3d-sentiment,NIA,NIA,NIA,FIA,NIA
Abubakari/finetuned-Sentiment-classfication-ROBERTA-model,NIA,NIA,NIA,FIA,NIA
Yah216/Sentiment_Analysis_CAMelBERT_msa_sixteenth_HARD,NIA,NIA,NIA,PIA,NIA
CultureBERT/roberta-large-hierarchy,PIA,PIA,NIA,NIA,NIA
deansaco/Roberta-base-financial-sentiment-analysis,NIA,NIA,NIA,PIA,NIA
bardsai/finance-sentiment-pl-fast,NIA,NIA,NIA,NIA,NIA
akoksal/bounti,PIA,NIA,NIA,NIA,NIA
NYTK/sentiment-ohb3-hubert-hungarian,NIA,NIA,NIA,NIA,NIA
sismetanin/sbert-ru-sentiment-krnd,NIA,NIA,NIA,NIA,NIA
CouchCat/ma_sa_v7_distil,NIA,NIA,NIA,NIA,NIA
raygx/GNePT-NepSA,NIA,NIA,NIA,PIA,NIA
papepipopu/trading_ai,NIA,NIA,NIA,NIA,NIA
pin/senda,NIA,NIA,NIA,NIA,NIA
Tobias/bert-base-uncased_English_Hotel_sentiment,NIA,NIA,NIA,PIA,NIA
CultureBERT/roberta-large-clan,NIA,NIA,NIA,NIA,NIA
KernAI/community-sentiment-bert,NIA,NIA,NIA,NIA,NIA
abnersampaio/sentiment3,NIA,NIA,NIA,NIA,NIA
cardiffnlp/bert-base-multilingual-cased-sentiment-multilingual,NIA,NIA,NIA,NIA,NIA
NewtonKimathi/Covid_Vaccine_Sentiment_Analysis_Roberta_Model,NIA,NIA,NIA,FIA,NIA
tanoManzo/roberta-attitude,NIA,NIA,NIA,FIA,NIA
veb/twitch-roberta-base-sentiment-latest,NIA,NIA,NIA,PIA,NIA
ikoghoemmanuell/finetuned_sentiment_modell,NIA,NIA,NIA,PIA,NIA
francisco-perez-sorrosal/distilbert-base-uncased-finetuned-with-spanish-tweets-clf,NIA,NIA,NIA,PIA,NIA
bowipawan/bert-sentimental,NIA,NIA,NIA,NIA,NIA
cardiffnlp/xlm-roberta-base-tweet-sentiment-it,NIA,NIA,NIA,NIA,NIA
gr8testgad-1/sentiment_analysis,NIA,NIA,NIA,PIA,NIA
gyesibiney/covid-tweet-sentimental-Analysis-roberta,NIA,NIA,NIA,FIA,NIA
AGudden/xlm-roberta-base-finetuned-marc,NIA,NIA,NIA,FIA,NIA
Souvikcmsa/SentimentAnalysisDistillBERT,NIA,NIA,NIA,NIA,NIA
NewtonKimathi/Covid_Vaccine_Sentiment_Analysis_Bert_based_Model,NIA,NIA,NIA,FIA,NIA
cardiffnlp/xlm-v-base-tweet-sentiment-pt,NIA,NIA,NIA,NIA,NIA
seninoseno/rubert-base-cased-sentiment-study-feedbacks-solyanka,NIA,NIA,NIA,NIA,NIA
nickwong64/bert-base-uncased-finance-sentiment,PIA,NIA,NIA,PIA,NIA
xyu1163/Testmodel_sentiment_with_3_labels,NIA,NIA,NIA,FIA,NIA
maclean-connor96/feedier-french-books,NIA,NIA,NIA,PIA,NIA
SiddharthaM/twitter-data-bert-base-multilingual-uncased-hindi-only-memes,NIA,NIA,NIA,FIA,NIA
Beanz1935/finetuning-sentiment-model-3000-samples,NIA,NIA,NIA,FIA,NIA
IngeniousArtist/distilbert-finance,NIA,NIA,NIA,PIA,NIA
Sonny4Sonnix/movie_sentiment_trainer,NIA,NIA,NIA,PIA,NIA
cardiffnlp/roberta-base-sentiment,PIA,NIA,NIA,NIA,NIA
Hyeonseo/ko-finance_news_classifier,NIA,NIA,NIA,FIA,NIA