,Model Name,Developed by,Funded by [optional],Shared by [optional],Model type,Language(s) (NLP),License,Finetuned from model [optional],Repository,Paper [optional],Demo [optional],Label Information,Training Data,Training Procedure,Preprocessing [optional],Training Hyperparameters,"Speeds, Sizes, Times [optional]",Testing Data,Factors,Metrics,Results,Summary,Direct Use,Downstream Use [optional],Out-of-Scope Use,"Bias, Risks, and Limitations",Recommendations,How to Get Started with the Model,Model Examination [optional],Environmental Impact,Technical Specifications [optional],Model Architecture and Objective,Compute Infrastructure,Hardware,Software,Citation [optional],Glossary [optional],More Information [optional],Model Card Authors [optional],Model Card Contact
0,ProsusAI/finbert,FIA,U,FIA,FIA,U,NIA,FIA,NIA,FIA,NIA,FIA,FIA,PIA,PIA,PIA,U,U,PIA,PIA,PIA,PIA,FIA,PIA,NIA,NIA,PIA,FIA,PIA,NIA,PIA,U,PIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
1,yiyanghkust/finbert-tone,PIA,PIA,PIA,FIA,FIA,NIA,FIA,FIA,U,NIA,FIA,FIA,PIA,PIA,PIA,NIA,PIA,PIA,PIA,PIA,PIA,U,PIA,NIA,PIA,PIA,FIA,NIA,NIA,PIA,U,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
2,cardiffnlp/twitter-roberta-base-sentiment-latest,PIA,PIA,PIA,FIA,FIA,NIA,FIA,FIA,FIA,FIA,FIA,PIA,PIA,NIA,PIA,NIA,PIA,PIA,PIA,PIA,PIA,U,PIA,NIA,NIA,NIA,FIA,PIA,NIA,PIA,PIA,NIA,NIA,NIA,FIA,NIA,U,NIA,NIA
3,cardiffnlp/twitter-xlm-roberta-base-sentiment,PIA,PIA,PIA,FIA,FIA,NIA,FIA,FIA,FIA,NIA,PIA,FIA,PIA,PIA,PIA,NIA,PIA,PIA,PIA,PIA,PIA,U,PIA,NIA,NIA,NIA,FIA,NIA,NIA,PIA,PIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
4,cardiffnlp/twitter-roberta-base-sentiment,PIA,PIA,PIA,FIA,FIA,NIA,FIA,FIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
5,blanchefort/rubert-base-cased-sentiment,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,PIA,PIA,NIA,NIA,U,NIA,PIA,PIA,NIA,U,NIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
6,finiteautomata/beto-sentiment-analysis,NIA,NIA,U,FIA,FIA,FIA,FIA,FIA,NIA,NIA,FIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
7,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,NIA,NIA,NIA,FIA,NIA,FIA,FIA,NIA,NIA,NIA,PIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,FIA,NIA,FIA,PIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
8,HooshvareLab/bert-fa-base-uncased-sentiment-digikala,PIA,NIA,U,FIA,FIA,PIA,FIA,FIA,NIA,NIA,FIA,FIA,PIA,PIA,FIA,PIA,FIA,NIA,FIA,FIA,PIA,FIA,PIA,NIA,NIA,NIA,FIA,NIA,NIA,PIA,PIA,PIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA
9,ahmedrachid/FinancialBERT-Sentiment-Analysis,FIA,NIA,FIA,FIA,U,NIA,FIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
10,koheiduck/bert-japanese-finetuned-sentiment,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,FIA,PIA,PIA,NIA,NIA,U,NIA,PIA,PIA,NIA,U,PIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
11,finiteautomata/bertweet-base-sentiment-analysis,NIA,NIA,U,FIA,FIA,FIA,FIA,FIA,FIA,NIA,FIA,FIA,PIA,PIA,PIA,U,PIA,NIA,FIA,FIA,PIA,FIA,NIA,NIA,NIA,PIA,FIA,NIA,NIA,PIA,PIA,PIA,NIA,NIA,FIA,NIA,NIA,NIA,U
12,oliverguhr/german-sentiment-bert,PIA,PIA,PIA,FIA,FIA,FIA,FIA,FIA,FIA,NIA,PIA,FIA,NIA,NIA,FIA,NIA,FIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
13,christian-phu/bert-finetuned-japanese-sentiment,NIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
14,blanchefort/rubert-base-cased-sentiment-rusentiment,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,U,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
15,climatebert/distilroberta-base-climate-sentiment,NIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
16,Seethal/sentiment_analysis_generic_dataset,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,FIA,FIA,NIA,NIA,PIA,U,NIA,NIA,PIA,PIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
17,sbcBI/sentiment_analysis_model,PIA,PIA,PIA,FIA,FIA,FIA,FIA,FIA,FIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,U,NIA,NIA
18,lxyuan/distilbert-base-multilingual-cased-sentiments-student,PIA,NIA,U,FIA,FIA,FIA,FIA,NIA,NIA,NIA,PIA,FIA,FIA,NIA,FIA,FIA,U,NIA,FIA,FIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,U,U,NIA,FIA,NIA,NIA,NIA,NIA
19,snunlp/KR-FinBert-SC,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,PIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA
20,soleimanian/financial-roberta-large-sentiment,NIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,FIA,U,NIA,NIA,FIA,NIA,FIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
21,RogerKam/roberta_RCADE_fine_tuned_sentiment_covid_news,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
22,amansolanki/autonlp-Tweet-Sentiment-Extraction-20114061,NIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
23,cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,PIA,NIA,NIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,PIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,U,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
24,RecordedFuture/Swedish-Sentiment-Fear,PIA,PIA,FIA,U,FIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
25,knkarthick/Sentiment-Analysis,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
26,cardiffnlp/camembert-base-tweet-sentiment-fr,PIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,PIA,U,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
27,samayash/finetuning-financial-news-sentiment,NIA,NIA,NIA,FIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,FIA,FIA,NIA,NIA,PIA,U,NIA,NIA,PIA,PIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
28,sbcBI/sentiment_analysis,PIA,PIA,PIA,FIA,FIA,FIA,FIA,FIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,U,NIA,PIA,PIA,PIA,FIA,NIA,NIA,NIA,NIA,FIA,PIA,NIA,PIA,U,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
29,yangheng/deberta-v3-base-absa-v1.1,PIA,PIA,PIA,FIA,FIA,FIA,FIA,FIA,FIA,NIA,PIA,FIA,PIA,NIA,PIA,U,FIA,NIA,FIA,FIA,PIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
30,hakonmh/sentiment-xdistil-uncased,NIA,NIA,U,FIA,FIA,FIA,FIA,FIA,FIA,NIA,FIA,FIA,PIA,FIA,PIA,NIA,U,NIA,FIA,FIA,NIA,FIA,FIA,NIA,NIA,NIA,FIA,NIA,NIA,PIA,U,PIA,NIA,NIA,FIA,NIA,FIA,U,NIA
31,avichr/heBERT_sentiment_analysis,PIA,PIA,PIA,FIA,FIA,NIA,FIA,FIA,FIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
32,hw2942/bert-base-chinese-finetuning-financial-news-sentiment-v2,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
33,Sigma/financial-sentiment-analysis,NIA,NIA,NIA,U,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,U,NIA,PIA,NIA,FIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,PIA,FIA,NIA,NIA,NIA,FIA,NIA,NIA,FIA,U
34,w11wo/indonesian-roberta-base-sentiment-classifier,FIA,NIA,FIA,FIA,FIA,FIA,FIA,NIA,FIA,NIA,PIA,FIA,PIA,PIA,NIA,NIA,PIA,NIA,FIA,FIA,PIA,U,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,FIA,FIA
35,j-hartmann/sentiment-roberta-large-english-3-classes,U,NIA,PIA,FIA,FIA,NIA,FIA,NIA,FIA,NIA,FIA,FIA,PIA,PIA,PIA,PIA,U,PIA,PIA,PIA,PIA,FIA,PIA,NIA,NIA,FIA,FIA,PIA,NIA,PIA,PIA,PIA,NIA,NIA,FIA,NIA,U,PIA,PIA
36,CAMeL-Lab/bert-base-arabic-camelbert-da-sentiment,PIA,PIA,PIA,FIA,FIA,FIA,FIA,FIA,FIA,NIA,PIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
37,fergusq/finbert-finnsentiment,NIA,NIA,U,FIA,FIA,FIA,FIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
38,abnersampaio/sentiment,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,FIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,PIA,U,FIA,FIA,NIA,NIA,NIA,U,NIA,U
39,neuraly/bert-base-italian-cased-sentiment,PIA,NIA,U,FIA,FIA,FIA,FIA,NIA,NIA,NIA,PIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
40,citizenlab/twitter-xlm-roberta-base-sentiment-finetunned,NIA,NIA,NIA,FIA,U,NIA,FIA,NIA,NIA,NIA,PIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,FIA,FIA,FIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA
41,MonoHime/rubert-base-cased-sentiment-new,FIA,NIA,FIA,FIA,FIA,NIA,FIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
42,mdhugol/indonesia-bert-sentiment-classification,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
43,Kyle1668/boss-sentiment-bert-base-uncased,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
44,mwz/RomanUrduClassification,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
45,philschmid/distilbert-base-multilingual-cased-sentiment-2,NIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,FIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA
46,lucas-leme/FinBERT-PT-BR,FIA,PIA,PIA,FIA,FIA,FIA,FIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
47,peerapongch/baikal-sentiment-ball,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
48,abhishek/autonlp-swahili-sentiment-615517563,NIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,FIA,PIA,PIA,PIA,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
49,cointegrated/rubert-tiny-sentiment-balanced,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
50,Jean-Baptiste/roberta-large-financial-news-sentiment-en,NIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,FIA,NIA,FIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
51,seara/rubert-tiny2-russian-sentiment,NIA,NIA,NIA,FIA,FIA,U,FIA,FIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
52,mdraw/german-news-sentiment-bert,NIA,NIA,U,FIA,FIA,NIA,FIA,FIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
53,BVK97/Discord-NFT-Sentiment,NIA,NIA,NIA,FIA,FIA,NIA,FIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
54,emre/turkish-sentiment-analysis,NIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,PIA,U,NIA,NIA,FIA,NIA,NIA,FIA,NIA,FIA,FIA,FIA,FIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA
55,alexandrainst/da-sentiment-base,FIA,NIA,FIA,FIA,FIA,FIA,FIA,FIA,U,NIA,FIA,NIA,U,FIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
56,eevvgg/StanceBERTa,FIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
57,ayameRushia/roberta-base-indonesian-1.5G-sentiment-analysis-smsa,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,PIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
58,Ammar-alhaj-ali/arabic-MARBERT-sentiment,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,FIA,PIA,PIA,U,PIA,NIA,PIA,PIA,PIA,FIA,PIA,NIA,PIA,PIA,FIA,PIA,NIA,PIA,PIA,PIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
59,yangheng/deberta-v3-large-absa-v1.1,PIA,PIA,PIA,FIA,FIA,FIA,FIA,FIA,FIA,NIA,PIA,U,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
60,IAyoub/finetuning-bert-sentiment-reviews-2,NIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
61,ayameRushia/bert-base-indonesian-1.5G-sentiment-analysis-smsa,NIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA
62,turing-usp/FinBertPTBR,FIA,NIA,FIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,PIA,PIA,NIA,PIA,NIA,NIA,NIA,NIA,PIA,PIA,PIA,FIA,NIA,NIA,NIA,NIA,FIA,PIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
63,Voicelab/herbert-base-cased-sentiment,U,U,FIA,NIA,FIA,FIA,FIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
64,Tejas3/distillbert_base_uncased_80_equal,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,FIA,NIA,PIA,NIA,NIA,PIA,PIA,PIA,PIA,PIA,U,U,NIA,NIA,PIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA
65,l3cube-pune/marathi-sentiment-md,PIA,PIA,PIA,FIA,FIA,FIA,FIA,FIA,FIA,NIA,PIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
66,shashanksrinath/News_Sentiment_Analysis,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,PIA,FIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,FIA,PIA,NIA,NIA,FIA,FIA,PIA,NIA,PIA,PIA,PIA,NIA,NIA,FIA,NIA,U,PIA,PIA
