,Model Name,Developed by,Funded by [optional],Shared by [optional],Model type,Language(s) (NLP),License,Finetuned from model [optional],Repository,Paper [optional],Demo [optional],Label Information,Training Data,Training Procedure,Preprocessing [optional],Training Hyperparameters,"Speeds, Sizes, Times [optional]",Testing Data,Factors,Metrics,Results,Summary,Direct Use,Downstream Use [optional],Out-of-Scope Use,"Bias, Risks, and Limitations",Recommendations,How to Get Started with the Model,Model Examination [optional],Environmental Impact,Technical Specifications [optional],Model Architecture and Objective,Compute Infrastructure,Hardware,Software,Citation [optional],Glossary [optional],More Information [optional],Model Card Authors [optional],Model Card Contact
67,CAMeL-Lab/bert-base-arabic-camelbert-mix-sentiment,PIA,PIA,PIA,FIA,FIA,FIA,FIA,FIA,FIA,NIA,PIA,U,U,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
68,Jorgeutd/bert-base-uncased-finetuned-surveyclassification,NIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,PIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
69,cardiffnlp/twitter-roberta-base-dec2021-sentiment,PIA,PIA,U,FIA,NIA,NIA,FIA,NIA,NIA,NIA,PIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
70,larskjeldgaard/senda,U,U,U,NIA,FIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
71,Souvikcmsa/BERT_sentiment_analysis,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,PIA,NIA,PIA,NIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,NIA,PIA,PIA,FIA,PIA,NIA,PIA,PIA,NIA,NIA,NIA,NIA,NIA,U,NIA,NIA
72,cardiffnlp/xlm-twitter-politics-sentiment,PIA,PIA,PIA,FIA,FIA,NIA,FIA,FIA,FIA,NIA,PIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
73,rohanrajpal/bert-base-multilingual-codemixed-cased-sentiment,NIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,FIA,PIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
74,hilmansw/indobert-finetuned-sentiment-happiness-index,NIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,PIA,FIA,U,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
75,FinanceInc/auditor_sentiment_finetuned,NIA,NIA,NIA,FIA,U,NIA,FIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
76,pysentimiento/roberta-targeted-sentiment-analysis,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,U,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
77,RecordedFuture/Swedish-Sentiment-Violence,U,PIA,FIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,U,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
78,poerwiyanto/bert-base-indonesian-522M-finetuned-sentiment,NIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,FIA,NIA,NIA,PIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
79,MarieAngeA13/Sentiment-Analysis-BERT,NIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
80,poom-sci/WangchanBERTa-finetuned-sentiment,NIA,NIA,NIA,NIA,PIA,FIA,NIA,NIA,NIA,NIA,PIA,PIA,PIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,U,NIA,NIA,PIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
81,xaqren/sentiment_analysis,PIA,NIA,U,FIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,FIA,FIA,U,PIA,U,PIA,NIA,FIA,FIA,PIA,FIA,PIA,NIA,FIA,NIA,FIA,PIA,NIA,PIA,PIA,U,PIA,NIA,FIA,NIA,NIA,NIA,NIA
82,Davlan/naija-twitter-sentiment-afriberta-large,PIA,PIA,PIA,FIA,FIA,NIA,FIA,NIA,FIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,PIA,NIA,NIA,U,NIA,NIA,NIA,NIA,FIA,FIA
83,bardsai/finance-sentiment-zh-base,FIA,PIA,FIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,FIA,NIA,FIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
84,seara/rubert-base-cased-russian-sentiment,NIA,NIA,NIA,FIA,FIA,U,FIA,FIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
85,blanchefort/rubert-base-cased-sentiment-med,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
86,hanifnoerr/Fine-tuned-Indonesian-Sentiment-Classifier,NIA,NIA,NIA,FIA,U,FIA,FIA,NIA,NIA,NIA,PIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
87,RashidNLP/Finance-Sentiment-Classification,NIA,NIA,NIA,FIA,U,FIA,FIA,NIA,NIA,NIA,PIA,FIA,NIA,NIA,FIA,NIA,FIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
88,RogerKam/roberta_fine_tuned_sentiment_newsmtsc,NIA,NIA,NIA,FIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
89,abnersampaio/sentimentv2,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
90,cardiffnlp/xlm-roberta-base-tweet-sentiment-pt,PIA,PIA,U,FIA,FIA,NIA,FIA,NIA,NIA,NIA,PIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
91,aari1995/German_Sentiment,FIA,NIA,FIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
92,ncduy/phobert-large-finetuned-vietnamese_students_feedback,NIA,NIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,PIA,PIA,PIA,PIA,NIA,NIA,PIA,NIA,PIA,PIA,PIA,PIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
93,ZiweiChen/FinBERT-FOMC,NIA,NIA,NIA,FIA,U,NIA,FIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
94,JP040/bert-german-sentiment-twitter,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,PIA,PIA,PIA,PIA,U,PIA,PIA,PIA,PIA,PIA,FIA,NIA,NIA,PIA,PIA,FIA,PIA,NIA,PIA,PIA,PIA,NIA,NIA,FIA,NIA,NIA,PIA,FIA
95,alger-ia/dziribert_sentiment,PIA,PIA,PIA,FIA,FIA,NIA,FIA,FIA,FIA,NIA,PIA,FIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
96,blanchefort/rubert-base-cased-sentiment-rurewiews,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,FIA,NIA,U,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
97,z-dickson/multilingual_sentiment_newspaper_headlines,NIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
98,rasmodev/Covid-19_Sentiment_Analysis_RoBERTa_Model,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,FIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,FIA,PIA,NIA,NIA,FIA,FIA,PIA,NIA,PIA,PIA,PIA,NIA,NIA,FIA,NIA,U,PIA,PIA
99,CAMeL-Lab/bert-base-arabic-camelbert-msa-sentiment,PIA,PIA,PIA,FIA,FIA,FIA,FIA,FIA,FIA,NIA,PIA,FIA,PIA,PIA,PIA,NIA,PIA,PIA,PIA,PIA,PIA,FIA,PIA,NIA,PIA,PIA,NIA,PIA,NIA,PIA,U,PIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA
100,oferweintraub/bert-base-finance-sentiment-noisy-search,U,NIA,NIA,FIA,U,NIA,FIA,NIA,FIA,NIA,FIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
101,nimaafshar/parsbert-fa-sentiment-twitter,NIA,NIA,NIA,U,FIA,NIA,NIA,NIA,NIA,NIA,FIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,U,NIA,NIA,U,NIA,NIA,U,U,NIA,NIA,NIA,NIA,NIA
102,KBLab/robust-swedish-sentiment-multiclass,NIA,U,NIA,FIA,U,NIA,FIA,NIA,FIA,NIA,NIA,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
103,mstafam/fine-tuned-bert-financial-sentiment-analysis,NIA,NIA,NIA,FIA,U,NIA,FIA,NIA,NIA,NIA,NIA,FIA,U,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
104,traptrip/rosatom_survey_sentiment_classifier,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
105,philschmid/distilbert-base-multilingual-cased-sentiment,NIA,NIA,NIA,U,NIA,NIA,FIA,NIA,NIA,NIA,NIA,U,NIA,NIA,FIA,NIA,U,U,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
106,IsaacSarps/sentiment_analysis,NIA,NIA,NIA,U,U,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
107,Venkatesh4342/distilbert-helpdesk-sentiment,NIA,NIA,NIA,U,NIA,NIA,U,NIA,NIA,NIA,PIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
108,m3hrdadfi/albert-fa-base-v2-sentiment-multi,NIA,NIA,NIA,FIA,FIA,NIA,FIA,FIA,NIA,NIA,FIA,U,U,NIA,NIA,NIA,U,U,U,U,NIA,U,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
109,hw2942/bert-base-chinese-finetuning-financial-news-sentiment,NIA,NIA,NIA,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
110,bardsai/finance-sentiment-zh-fast,NIA,NIA,NIA,U,FIA,NIA,FIA,NIA,NIA,NIA,FIA,U,U,NIA,U,NIA,NIA,NIA,U,U,NIA,NIA,NIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,U
111,EMBEDDIA/rubert-tweetsentiment,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
112,ramnika003/autotrain-sentiment_analysis_project-705021428,NIA,NIA,NIA,U,U,NIA,U,U,NIA,NIA,NIA,U,U,NIA,NIA,NIA,U,NIA,U,U,NIA,NIA,NIA,NIA,NIA,NIA,U,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
113,pysentimiento/roberta-es-sentiment,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
114,Softechlb/Sent_analysis_CVs,NIA,NIA,NIA,U,U,NIA,U,NIA,NIA,NIA,NIA,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
115,mdeniz1/turkish-sentiment-analysis-bert-base-turkish-uncased,NIA,U,NIA,U,U,NIA,FIA,NIA,NIA,NIA,NIA,NIA,U,NIA,FIA,NIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
116,ganeshkharad/gk-hinglish-sentiment,NIA,NIA,NIA,U,FIA,NIA,U,U,NIA,NIA,FIA,U,U,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
117,akahana/indonesia-sentiment-roberta,NIA,NIA,NIA,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
118,sahri/indonesiasentiment,FIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,PIA,FIA,U,NIA,NIA,NIA,U,NIA,U,U,NIA,U,NIA,NIA,U,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
119,Venkatesh4342/xlm-roberta-helpdesk-sentiment,NIA,NIA,NIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,U,U,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
120,KernAI/stock-news-distilbert,NIA,NIA,NIA,FIA,U,NIA,U,NIA,NIA,NIA,FIA,U,U,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,FIA,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
121,CAMeL-Lab/bert-base-arabic-camelbert-ca-sentiment,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,FIA,NIA,PIA,FIA,U,U,U,U,U,U,U,U,U,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,U,NIA,NIA,NIA
122,Cristian-dcg/beto-sentiment-analysis-finetuned-onpremise,NIA,NIA,NIA,PIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
123,cardiffnlp/twitter-roberta-base-2021-124m-sentiment,NIA,NIA,NIA,FIA,U,NIA,FIA,NIA,NIA,NIA,PIA,U,U,U,U,NIA,U,U,U,U,U,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,U,U,NIA,NIA,NIA
124,RashidNLP/Amazon-Deberta-Base-Sentiment,NIA,NIA,NIA,FIA,U,NIA,U,NIA,NIA,NIA,U,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
125,sudhanvasp/Sentiment-Analysis,FIA,NIA,NIA,FIA,U,NIA,U,FIA,NIA,NIA,FIA,U,U,FIA,U,NIA,NIA,NIA,U,U,FIA,U,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA
126,dnzblgn/BART_Sentiment_Classification,NIA,NIA,NIA,FIA,U,NIA,NIA,NIA,NIA,NIA,FIA,U,U,U,U,NIA,U,NIA,NIA,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
127,MMG/xlm-roberta-base-sa-spanish,NIA,NIA,NIA,FIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
128,cardiffnlp/xlm-roberta-base-sentiment-multilingual,NIA,NIA,NIA,FIA,U,NIA,FIA,NIA,U,NIA,PIA,U,U,NIA,U,NIA,U,NIA,U,U,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,U,NIA,NIA,NIA
129,cardiffnlp/bertweet-base-sentiment,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
130,slisowski/stock_sentiment_hp,NIA,NIA,NIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,U,NIA,FIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
131,yj2773/hinglish11k-sentiment-analysis,NIA,NIA,NIA,U,FIA,NIA,U,NIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,U,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
132,bardsai/twitter-sentiment-pl-base,NIA,U,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,FIA,U,U,NIA,NIA,NIA,U,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
133,kinit/slovakbert-sentiment-twitter,NIA,U,NIA,FIA,FIA,NIA,U,NIA,FIA,NIA,FIA,FIA,U,U,U,NIA,U,U,FIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
134,clips/republic,FIA,U,NIA,FIA,FIA,NIA,U,NIA,NIA,NIA,FIA,U,U,NIA,U,NIA,U,U,U,U,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
135,Sonny4Sonnix/twitter-roberta-base-sentimental-analysis-of-covid-tweets,NIA,NIA,NIA,U,U,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,U,NIA,U,U,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
136,TFLai/turkish-bert-128k-sentiment,NIA,NIA,NIA,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
137,zabiullah/autotrain-customers_email_sentiment-3449294006,NIA,NIA,NIA,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,U,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
138,RogerKam/roberta_fine_tuned_sentiment_sst3,NIA,NIA,NIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,U,U,NIA,FIA,NIA,U,U,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,U,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
