model,Ouput,_id,downloads,likes,architectures,datasets,language,metrics,pipeline_tag,lastModified,tags
ys7yoo/nli_roberta-large_lr1e-05_wd1e-03_ep3_ckpt,"['LABEL_1', 'LABEL_0', 'LABEL_2']",65079ddba61b2c010e165532,29,0,['RobertaForSequenceClassification'],['klue'],,"['accuracy', 'f1']",text-classification,2023-09-18 01:08:41+00:00,"['transformers', 'pytorch', 'roberta', 'text-classification', 'generated_from_trainer', 'dataset:klue', 'base_model:klue/roberta-large', 'model-index', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ys7yoo/nli_klue_roberta_base_ep9,"['LABEL_1', 'LABEL_0', 'LABEL_2']",650277d6adf89caf5f07520e,28,0,['RobertaForSequenceClassification'],NA,NA,NA,text-classification,2023-09-14 03:06:31+00:00,"['transformers', 'pytorch', 'roberta', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
IDEA-CCNL/Erlangshen-Roberta-330M-NLI,"['ENTAILMENT', 'NEUTRAL', 'CONTRADICTION']",625e50d1d28969004c10a7cd,22,4,['BertForSequenceClassification'],,['zh'],,text-classification,2023-05-26 06:34:56+00:00,"['transformers', 'pytorch', 'bert', 'text-classification', 'roberta', 'NLU', 'NLI', 'Chinese', 'zh', 'arxiv:2209.02970', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
Jihyun22/bert-base-finetuned-nli,"['LABEL_1', 'LABEL_2', 'LABEL_0']",621ffdc036468d709f176112,78,2,['BertForSequenceClassification'],['klue'],,['accuracy'],text-classification,2021-10-26 11:07:39+00:00,"['transformers', 'pytorch', 'bert', 'text-classification', 'generated_from_trainer', 'dataset:klue', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
tomhosking/deberta-v3-base-debiased-nli,"['NEUTRAL', 'ENTAILMENT', 'CONTRADICTION']",627a15d5c488a8ce15a1fdb2,42,0,['DebertaV2ForSequenceClassification'],,,,text-classification,2022-05-10 08:15:40+00:00,"['transformers', 'pytorch', 'deberta-v2', 'text-classification', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ctu-aic/xlm-roberta-large-nli-qacg-sum,"['n', 's', 'r']",65a7eb578581aad8c90c2280,18,0,['XLMRobertaForSequenceClassification'],NA,NA,NA,text-classification,2024-01-17 15:00:59+00:00,"['transformers', 'pytorch', 'xlm-roberta', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ctu-aic/xlm-roberta-large-nli-csfever,"['s', 'n', 'r']",65e71ee82519cf95213c2bea,20,0,['XLMRobertaForSequenceClassification'],['ctu-aic/csfever_nli'],['cs'],,text-classification,2024-03-07 14:57:53+00:00,"['transformers', 'pytorch', 'xlm-roberta', 'text-classification', 'cs', 'dataset:ctu-aic/csfever_nli', 'arxiv:2312.10171', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
MayaGalvez/bert-base-multilingual-cased-finetuned-nli,"['LABEL_1', 'LABEL_0', 'LABEL_2']",62ea63033baa50831a039ffa,13,0,['BertForSequenceClassification'],['xnli'],,['accuracy'],text-classification,2022-08-03 16:48:33+00:00,"['transformers', 'pytorch', 'bert', 'text-classification', 'generated_from_trainer', 'dataset:xnli', 'license:apache-2.0', 'model-index', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
Sebb/german-nli-large-thesis,"['LABEL_0', 'LABEL_1', 'LABEL_2']",621ffdc036468d709f177454,18,0,['BertForSequenceClassification'],NA,NA,NA,text-classification,2022-01-04 21:06:38+00:00,"['transformers', 'pytorch', 'bert', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
mamlong34/MiniLM-L6-snli_mnli_fever_anli_R1_R2_R3-nli,"['LABEL_0', 'LABEL_1', 'LABEL_2']",621ffdc136468d709f17dbcc,18,0,['BertForSequenceClassification'],NA,NA,NA,text-classification,2021-10-05 03:26:48+00:00,"['transformers', 'pytorch', 'bert', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ixaxaar/flan-t5-base_multi-nli,"[0, 1, 2]",65a7702bac3a06f3e8be7926,13,0,['T5ForSequenceClassification'],,,,text-classification,2024-01-17 22:33:50+00:00,"['transformers', 'safetensors', 't5', 'text-classification', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'text-generation-inference', 'region:us']"
Sebb/german-nli-base-thesis,"['LABEL_0', 'LABEL_2', 'LABEL_1']",621ffdc036468d709f177453,20,0,['BertForSequenceClassification'],NA,NA,NA,text-classification,2022-01-06 20:06:07+00:00,"['transformers', 'pytorch', 'bert', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
tomhosking/bert-base-uncased-debiased-nli,"['ENTAILMENT', 'NEUTRAL', 'CONTRADICTION']",62753264f454ebadd6bc6a01,13,0,['BertForSequenceClassification'],,,,text-classification,2023-03-20 12:14:09+00:00,"['transformers', 'pytorch', 'safetensors', 'bert', 'text-classification', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ctu-aic/xlm-roberta-large-nli-enfever,"['s', 'n', 'r']",65e744159de7e2573b538d14,14,0,['XLMRobertaForSequenceClassification'],['ctu-aic/enfever_nli'],['en'],,text-classification,2024-03-07 14:54:25+00:00,"['transformers', 'pytorch', 'xlm-roberta', 'text-classification', 'en', 'dataset:ctu-aic/enfever_nli', 'arxiv:2312.10171', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
rmihaylov/bert-base-nli-theseus-bg,"['CONTRADICTION', 'NEUTRAL', 'ENTAILMENT']",625ba331e58e3083f5321a36,7,1,['BertForSequenceClassification'],"['oscar', 'chitanka', 'wikipedia']",['bg'],,text-classification,2022-04-17 06:35:37+00:00,"['transformers', 'pytorch', 'bert', 'text-classification', 'torch', 'bg', 'dataset:oscar', 'dataset:chitanka', 'dataset:wikipedia', 'arxiv:1810.04805', 'arxiv:2002.02925', 'license:mit', 'autotrain_compatible', 'region:us']"
YaraKyrychenko/bert-nli-ukraine-solidarity-v2,"['entailment', 'neutral', 'contradiction']",646b9344ed22827213329beb,7,0,['DebertaV2ForSequenceClassification'],NA,NA,NA,text-classification,2023-05-22 16:08:32+00:00,"['transformers', 'pytorch', 'deberta-v2', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
MayaGalvez/bert-base-multilingual-cased-finetuned-multilingual-nli,"['LABEL_0', 'LABEL_1', 'LABEL_2']",6321d642a97afe3c4c663bdd,6,0,['BertForSequenceClassification'],,,"['accuracy', 'precision', 'recall', 'f1']",text-classification,2022-09-14 15:24:58+00:00,"['transformers', 'pytorch', 'bert', 'text-classification', 'generated_from_trainer', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
YaraKyrychenko/bert-nli-ukraine-pov,"['entailment', 'neutral', 'contradiction']",6439708868228e8b33433fe3,5,0,['DebertaV2ForSequenceClassification'],NA,NA,NA,text-classification,2023-04-14 15:26:58+00:00,"['transformers', 'pytorch', 'deberta-v2', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
mansee/nli-sentence-contradiction-classification,"['LABEL_1', 'LABEL_0', 'LABEL_2']",65a51ffd81a46e7dd95e7ec1,4,0,['MPNetForSequenceClassification'],NA,NA,NA,text-classification,2024-01-28 20:07:45+00:00,"['transformers', 'tensorboard', 'safetensors', 'mpnet', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ernlavr/destilbert_fever_nli,"['LABEL_1', 'LABEL_0', 'LABEL_2']",63c7e011ff9dc0843ef2acd5,5,0,['DistilBertForSequenceClassification'],['fever'],,['f1'],text-classification,2023-12-26 15:45:59+00:00,"['transformers', 'pytorch', 'tensorboard', 'distilbert', 'text-classification', 'generated_from_trainer', 'dataset:fever', 'base_model:distilbert-base-cased', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
YaraKyrychenko/bert-nli-ukraine-hostility-v2,"['entailment', 'neutral', 'contradiction']",646baed25d68f5c15a2bf0bd,4,0,['DebertaV2ForSequenceClassification'],NA,NA,NA,text-classification,2023-05-22 18:05:59+00:00,"['transformers', 'pytorch', 'deberta-v2', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
JMosig/san_nli_2409_1325,"['neutral', 'contradiction', 'entailment']",6335554db0dc7341bb615c54,4,0,['BertForSequenceClassification'],,,['f1'],text-classification,2022-09-29 08:39:09+00:00,"['transformers', 'pytorch', 'tensorboard', 'bert', 'text-classification', 'generated_from_trainer', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ctu-aic/xlm-roberta-large-squad2-enfever_nli,"['LABEL_2', 'LABEL_0', 'LABEL_1']",6352a1266cfb8f1498148d41,5,0,['XLMRobertaForSequenceClassification'],NA,NA,NA,text-classification,2022-10-21 13:46:57+00:00,"['transformers', 'pytorch', 'tf', 'xlm-roberta', 'text-classification', 'arxiv:2201.11115', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
YaraKyrychenko/bert-nli-ukraine-solidarity,"['entailment', 'neutral', 'contradiction']",64676c8f3a7c8dda2303d27e,3,0,['DebertaV2ForSequenceClassification'],NA,NA,NA,text-classification,2023-05-19 12:33:48+00:00,"['transformers', 'pytorch', 'deberta-v2', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ys7yoo/nli_klue_bert-base_v2,"['LABEL_0', 'LABEL_1', 'LABEL_2']",65b25f53804ddf9d710c71ef,2,0,['BertForSequenceClassification'],NA,NA,NA,text-classification,2024-01-25 13:19:24+00:00,"['transformers', 'pytorch', 'bert', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
liyijing024/covid-twitter-bert-v2-mnli-NLI-STS-CrossEncoder-Covid-HeRA,"['neutral', 'contradiction', 'entailment']",6279a16a98a756fa45475e1d,4,0,['BertForSequenceClassification'],NA,NA,NA,text-classification,2022-05-09 23:32:42+00:00,"['transformers', 'pytorch', 'bert', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
RebekkaB/san_nli_2409_1325,"['neutral', 'contradiction', 'entailment']",632ee99f34c562cb1d332439,3,0,['BertForSequenceClassification'],,,['f1'],text-classification,2022-09-24 11:50:33+00:00,"['transformers', 'pytorch', 'tensorboard', 'bert', 'text-classification', 'generated_from_trainer', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
jschmock/sanitaer_nli,"['neutral', 'contradiction', 'entailment']",633587b6bfaef8b2c4a02ac1,3,0,['BertForSequenceClassification'],,,['f1'],text-classification,2022-09-29 12:15:53+00:00,"['transformers', 'pytorch', 'tensorboard', 'bert', 'text-classification', 'generated_from_trainer', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
tyatabe/nli_sv,"['contradiction', 'entailment', 'neutral']",63416384e5071b0c5ccb10f7,3,0,['XLMRobertaForSequenceClassification'],,,,text-classification,2022-10-12 11:49:30+00:00,"['transformers', 'pytorch', 'xlm-roberta', 'text-classification', 'license:mit', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
martn-nguyen/multi_nli-adversarial,"['LABEL_1', 'LABEL_0', 'LABEL_2']",638d5c40df246d4e14840ccc,4,0,['ElectraForSequenceClassification'],NA,NA,NA,text-classification,2022-12-05 02:52:20+00:00,"['transformers', 'pytorch', 'electra', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ernlavr/destilbert_uncased_fever_nli,"['LABEL_0', 'LABEL_1', 'LABEL_2']",63c7fedd48eff25d4e62e392,3,1,['DistilBertForSequenceClassification'],['fever'],['en'],['f1'],text-classification,2023-12-26 15:46:35+00:00,"['transformers', 'pytorch', 'tensorboard', 'safetensors', 'distilbert', 'text-classification', 'generated_from_trainer', 'en', 'dataset:fever', 'base_model:distilbert-base-uncased', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
Gwatk/10k_test3_nli_finetuned_canine_s,"['LABEL_0', 'LABEL_2', 'LABEL_1']",641e3c978f11da61e7f96d43,3,0,['CanineForSequenceClassification'],,,['accuracy'],text-classification,2023-03-25 00:36:48+00:00,"['transformers', 'pytorch', 'tensorboard', 'canine', 'text-classification', 'generated_from_trainer', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
yongsun-yoon/electra-ko-base-nli,"['LABEL_0', 'LABEL_1', 'LABEL_2']",6430b7c0a94b32637081aa67,2,1,['ElectraForSequenceClassification'],NA,NA,NA,text-classification,2023-06-05 00:22:22+00:00,"['transformers', 'pytorch', 'electra', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
manuu01/electra-nli_finetuned,"['Entailment', 'Neutral', 'Not_entailment']",64ddd499240234818264c898,3,0,['ElectraForSequenceClassification'],"['snli', 'scitail', 'multi_nli', 'alisawuffles/WANLI', 'pietrolesci/nli_fever', 'anli']",,,text-classification,2023-08-17 08:11:10+00:00,"['transformers', 'tf', 'electra', 'text-classification', 'generated_from_keras_callback', 'dataset:snli', 'dataset:scitail', 'dataset:multi_nli', 'dataset:alisawuffles/WANLI', 'dataset:pietrolesci/nli_fever', 'dataset:anli', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ys7yoo/nli_klue_roberta_base_ep15,"['LABEL_1', 'LABEL_0', 'LABEL_2']",650280d88670cc10e6aa82be,2,0,['RobertaForSequenceClassification'],NA,NA,NA,text-classification,2023-09-14 03:44:19+00:00,"['transformers', 'pytorch', 'roberta', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ys7yoo/nli_sts_roberta_large_lr1e_05_wd1e_03_ep5_lr1e-05_wd1e-03_ep5_ckpt,"['LABEL_0', 'LABEL_1', 'LABEL_2']",65070506dacc94cd6c0ec79f,3,0,['RobertaForSequenceClassification'],['klue'],,"['accuracy', 'f1']",text-classification,2023-09-17 14:26:43+00:00,"['transformers', 'pytorch', 'roberta', 'text-classification', 'generated_from_trainer', 'dataset:klue', 'base_model:ys7yoo/sts_roberta_large_lr1e-05_wd1e-03_ep5', 'model-index', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
aniltepe/bert-base-turkish-finetuned-nli,"['Entailment', 'Contradiction', 'Neutral']",65aee7711216d50327edaf72,2,0,['BertForSequenceClassification'],,,['accuracy'],text-classification,2024-01-29 15:24:18+00:00,"['transformers', 'tensorboard', 'safetensors', 'bert', 'text-classification', 'generated_from_trainer', 'base_model:dbmdz/bert-base-turkish-cased', 'license:mit', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
m4faisal/NLI-Lora-Fine-Tuning,"['LABEL_1', 'LABEL_2', 'LABEL_0']",65ef8ae10a63bbcd1ce77e21,7,0,['AlbertForSequenceClassification'],NA,NA,NA,text-classification,2024-03-12 18:24:42+00:00,"['transformers', 'tensorboard', 'safetensors', 'albert', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ctu-aic/xlm-roberta-large-squad2-ctkfacts_nli,"['LABEL_2', 'LABEL_0', 'LABEL_1']",63529d8d717552bc0f2809e4,3,0,['XLMRobertaForSequenceClassification'],NA,NA,NA,text-classification,2022-10-21 13:32:10+00:00,"['transformers', 'pytorch', 'tf', 'xlm-roberta', 'text-classification', 'arxiv:2201.11115', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ctu-aic/xlm-roberta-large-xnli-ctkfacts_nli,"['entailment', 'contradiction', 'neutral']",63529f68507b679c3c5e0d91,3,0,['XLMRobertaForSequenceClassification'],NA,NA,NA,text-classification,2022-10-21 13:39:36+00:00,"['transformers', 'pytorch', 'tf', 'xlm-roberta', 'text-classification', 'arxiv:2201.11115', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ctu-aic/xlm-roberta-large-xnli-enfever_nli,"['contradiction', 'entailment', 'neutral']",6352a2df717552bc0f283d8a,3,0,['XLMRobertaForSequenceClassification'],NA,NA,NA,text-classification,2022-10-21 13:52:57+00:00,"['transformers', 'pytorch', 'tf', 'xlm-roberta', 'text-classification', 'arxiv:2201.11115', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ctu-aic/xlm-roberta-large-xnli-csfever_nli,"['entailment', 'contradiction', 'neutral']",6352a701b2c3384b9fef1e16,3,0,['XLMRobertaForSequenceClassification'],NA,NA,NA,text-classification,2022-10-21 14:10:34+00:00,"['transformers', 'pytorch', 'tf', 'xlm-roberta', 'text-classification', 'arxiv:2201.11115', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ctu-aic/xlm-roberta-large-squad2-csfever_nli,"['LABEL_2', 'LABEL_0', 'LABEL_1']",6352a86856ef05f3a1f763d0,3,0,['XLMRobertaForSequenceClassification'],NA,NA,NA,text-classification,2022-10-21 14:18:18+00:00,"['transformers', 'pytorch', 'tf', 'xlm-roberta', 'text-classification', 'arxiv:2201.11115', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
cjvt/sloberta-si-nli,"['LABEL_0', 'LABEL_1', 'LABEL_2']",636e138a9b61600b6298146f,8,0,['CamembertForSequenceClassification'],,['sl'],,text-classification,2022-11-11 10:11:45+00:00,"['transformers', 'pytorch', 'camembert', 'text-classification', 'sl', 'license:cc-by-sa-4.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
cjvt/crosloengual-bert-si-nli,"['LABEL_1', 'LABEL_2', 'LABEL_0']",636e18e844a18bc3c00f0443,3,0,['BertForSequenceClassification'],,"['sl', 'hr', 'en', 'multilingual']",,text-classification,2023-01-08 11:29:33+00:00,"['transformers', 'pytorch', 'bert', 'text-classification', 'sl', 'hr', 'en', 'multilingual', 'license:cc-by-4.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
martn-nguyen/multi_nli-electra_small,"['LABEL_0', 'LABEL_1', 'LABEL_2']",638c34253bbf29e58908d70f,3,0,['ElectraForSequenceClassification'],NA,NA,NA,text-classification,2022-12-04 05:47:16+00:00,"['transformers', 'pytorch', 'electra', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
martn-nguyen/multi_nli-contrast,"['LABEL_1', 'LABEL_0', 'LABEL_2']",6390f108eb0101b033b04461,3,0,['ElectraForSequenceClassification'],NA,NA,NA,text-classification,2022-12-07 20:09:48+00:00,"['transformers', 'pytorch', 'electra', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
martn-nguyen/multi_nli-adversarial_contrast,"['LABEL_1', 'LABEL_0', 'LABEL_2']",6390f1d9135d16403b9dc941,3,0,['ElectraForSequenceClassification'],NA,NA,NA,text-classification,2022-12-07 20:13:17+00:00,"['transformers', 'pytorch', 'electra', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
djsull/nli-zero-shot,"['entailment', 'neutral', 'contradiction']",63eddd9daac1431efc3114a6,2,0,['RobertaForSequenceClassification'],NA,NA,NA,text-classification,2023-03-20 02:53:43+00:00,"['transformers', 'pytorch', 'safetensors', 'roberta', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
jcbao77/updated_NER-to-NLI_sequential,"['entailment', 'neutral', 'contradiction']",6412629f8a62a28e6440e1e4,3,0,['BertForSequenceClassification'],NA,NA,NA,text-classification,2023-03-16 00:29:01+00:00,"['transformers', 'pytorch', 'bert', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
k4black/roberta-large-e-snli-classification-nli-default,"['entailment', 'neutral', 'contradiction']",64199f4f702d3e91cecd9519,2,0,['RobertaForSequenceClassification'],NA,NA,NA,text-classification,2023-03-21 12:26:38+00:00,"['transformers', 'pytorch', 'roberta', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
k4black/roberta-base-e-snli-classification-nli-base,"['entailment', 'neutral', 'contradiction']",6419a6150eca818e164723f1,8,0,['RobertaForSequenceClassification'],['esnli'],,"['f1', 'accuracy']",text-classification,2023-03-21 18:24:14+00:00,"['transformers', 'pytorch', 'roberta', 'text-classification', 'generated_from_trainer', 'dataset:esnli', 'license:mit', 'model-index', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
k4black/textattack-roberta-base-MNLI-e-snli-classification-nli-base,"['entailment', 'neutral', 'contradiction']",6419b690f0415b2ec8362a5b,2,0,['RobertaForSequenceClassification'],['esnli'],,"['f1', 'accuracy']",text-classification,2023-03-21 14:22:44+00:00,"['transformers', 'pytorch', 'roberta', 'text-classification', 'generated_from_trainer', 'dataset:esnli', 'model-index', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
Gwatk/10k_test3_nli_finetuned_bert,"['LABEL_2', 'LABEL_0', 'LABEL_1']",641e37bf5d820e1adc6aa179,2,0,['BertForSequenceClassification'],,,['accuracy'],text-classification,2023-03-25 00:11:24+00:00,"['transformers', 'pytorch', 'tensorboard', 'bert', 'text-classification', 'generated_from_trainer', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
Gwatk/10k_test3_nli_finetuned_canine_c,"['LABEL_0', 'LABEL_2', 'LABEL_1']",641e42321d05404efd06f498,2,0,['CanineForSequenceClassification'],,,['accuracy'],text-classification,2023-03-25 00:56:24+00:00,"['transformers', 'pytorch', 'tensorboard', 'canine', 'text-classification', 'generated_from_trainer', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
mssongit/fn_deberta_base_v2_32bit-finetuned-nli,"['LABEL_0', 'LABEL_1', 'LABEL_2']",642fc4895844153d666e3b50,2,0,['DebertaV2ForSequenceClassification'],NA,NA,NA,text-classification,2023-04-07 08:12:34+00:00,"['transformers', 'pytorch', 'deberta-v2', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
k4black/roberta-large-e-snli-classification-nli_explanation-base-b16,"['neutral', 'entailment', 'contradiction']",6431b13df2355217ea463fe8,2,0,['RobertaForSequenceClassification'],NA,NA,NA,text-classification,2023-04-08 18:57:30+00:00,"['transformers', 'pytorch', 'roberta', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
