,Model Name,%FIA,%PIA,%NIA,%U
247,rohanrajpal/bert-base-en-es-codemix-cased,0.0,20.0,60.0,20.0
248,langecod/Financial_Phrasebank_RoBERTa,0.0,0.0,100.0,0.0
249,brema76/vaccine_event_it,0.0,0.0,80.0,20.0
250,kullackaan/sentiment-tweets,0.0,0.0,100.0,0.0
251,jayantapaul888/twitter-data-pysentimiento-robertuito-sentiment-finetuned-memes,20.0,0.0,80.0,0.0
252,santis2/phrasebank-sentiment-analysis,20.0,0.0,60.0,20.0
253,bardsai/finance-sentiment-de-base,0.0,0.0,40.0,60.0
254,everyl12/crisis_sentiment_roberta,0.0,0.0,80.0,20.0
255,cardiffnlp/xlm-roberta-base-tweet-sentiment-de,0.0,0.0,80.0,20.0
256,Venkatesh4342/distilbert-helpdesk-sentence-sentiment,20.0,0.0,80.0,0.0
257,mrcaelumn/yelp_restaurant_review_sentiment_analysis,0.0,0.0,100.0,0.0
258,cardiffnlp/xlm-v-base-tweet-sentiment-es,0.0,0.0,80.0,20.0
259,Kapiche/twitter-roberta-base-sentiment-latest,0.0,0.0,80.0,20.0
260,cardiffnlp/xlm-v-base-tweet-sentiment-it,0.0,0.0,80.0,20.0
261,bardsai/twitter-sentiment-pl-fast,0.0,0.0,80.0,20.0
262,cardiffnlp/xlm-roberta-base-tweet-sentiment-en,0.0,0.0,100.0,0.0
263,svalabs/twitter-xlm-roberta-bitcoin-sentiment,0.0,0.0,80.0,20.0
264,DingYao/autotrain-fbert-singlish-5-1943965533,0.0,0.0,100.0,0.0
265,bardsai/finance-sentiment-ja-base,0.0,0.0,100.0,0.0
266,DunnBC22/distilbert-base-uncased-Financial_Sentiment_Analysis,20.0,0.0,40.0,40.0
267,DunnBC22/distilbert-base-uncased-US_Airline_Twitter_Sentiment_Analysis,20.0,0.0,40.0,40.0
268,cardiffnlp/xlm-roberta-base-tweet-sentiment-fr,0.0,0.0,80.0,20.0
269,GhylB/Sentiment_Analysis_DistilBERT,0.0,0.0,100.0,0.0
270,meghanabhange/Hinglish-Bert-Class,0.0,0.0,100.0,0.0
271,Abdelrahman-Rezk/emotion-english-distilroberta-base-fine_tuned_for_amazon_reviews_english_3,0.0,0.0,100.0,0.0
272,adnanakbr/emotion-english-distilroberta-base-fine_tuned_for_amazon_english_reviews_on_200K_review,0.0,0.0,100.0,0.0
273,yanezh/twiiter_try4_fold2,0.0,0.0,100.0,0.0
274,intanm/fin-sa-post-trained-indobert-base-finnews-5,0.0,0.0,100.0,0.0
275,dhikaardianto/TiktokSentimentIndoBertTwitter,0.0,0.0,100.0,0.0
276,tyqiangz/indobert-lite-large-p2-smsa,20.0,0.0,60.0,20.0
277,Nelver28/sentiment-analysis-positive-mixed-negative,20.0,0.0,80.0,0.0
278,kartashoffv/vashkontrol-sentiment-rubert,20.0,0.0,60.0,20.0
279,zainalq7/autotrain-NLU_crypto_sentiment_analysis-754123133,0.0,0.0,100.0,0.0
280,cardiffnlp/xlm-v-base-tweet-sentiment-fr,0.0,0.0,80.0,20.0
281,CK42/sentiment_analysis_sbcBI,0.0,0.0,100.0,0.0
282,adnanakbr/bert-base-multilingual-uncased-sentiment-fine_tuned_for_amazon_english_reviews_on_200K_review_v2,0.0,0.0,100.0,0.0
283,mirfan899/da_spacy_sentiment,0.0,0.0,100.0,0.0
284,cardiffnlp/xlm-v-base-tweet-sentiment-en,0.0,0.0,100.0,0.0
285,DunnBC22/bert-base-uncased-Twitter_Sentiment_Analysis_v2,20.0,0.0,80.0,0.0
286,TankuVie/bert-base-multilingual-uncased-vietnamese_sentiment_analysis,20.0,0.0,60.0,20.0
287,duwuonline/mymodel-classify-sentiment,0.0,0.0,100.0,0.0
288,Tobias/bert-base-german-cased_German_Hotel_sentiment,0.0,0.0,80.0,20.0
289,eevvgg/PaReS-sentimenTw-political-PL,0.0,0.0,80.0,20.0
290,venetis/distilroberta-base-finetuned-3d-sentiment,20.0,0.0,80.0,0.0
291,A-Funakoshi/bert-finetuned-multilingual-sentiments,0.0,0.0,100.0,0.0
292,devtanumisra/finetuning-sentiment-model-deberta-smote,0.0,0.0,100.0,0.0
293,sasha/autotrain-BERTBase-TweetEval-1281248996,0.0,0.0,80.0,20.0
294,cardiffnlp/mbert-base-tweet-sentiment-it,0.0,0.0,80.0,20.0
295,candra/indobertweet-sentiment2,20.0,0.0,80.0,0.0
296,Jonathan0528/bert-base-uncased-financial-news-sentiment,0.0,0.0,100.0,0.0
297,sismetanin/rubert_conversational-ru-sentiment-krnd,0.0,0.0,100.0,0.0
298,RogerB/kin-sentiC,20.0,0.0,60.0,20.0
299,Anthos23/my-awesome-model,0.0,0.0,100.0,0.0
300,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,0.0,0.0,100.0,0.0
301,course5i/SEAD-L-6_H-256_A-8-mnli,0.0,0.0,80.0,20.0
302,Narsil/finbert-slow,0.0,0.0,100.0,0.0
303,sairahul5223/autotrain-auto-train-intent-classification-20220928-1584756071,0.0,0.0,100.0,0.0
304,FinScience/FS-distilroberta-fine-tuned,0.0,0.0,80.0,20.0
305,senfu/bert-base-uncased-top-pruned-mnli,0.0,0.0,100.0,0.0
306,ruanchaves/bert-base-portuguese-cased-porsimplessent,0.0,0.0,100.0,0.0
307,Cincin-nvp/NusaX-senti_XLM-R,0.0,0.0,100.0,0.0
308,rhythm00/HF_tutor,0.0,0.0,100.0,0.0
309,mlkorra/obgv-gender-bert-hi-en,0.0,0.0,100.0,0.0
310,Svetlana0303/Classfication_longformer,20.0,0.0,80.0,0.0
311,sara-nabhani/ML-ns-bert-base-uncased,0.0,0.0,100.0,0.0
312,yanezh/twiiter_try6_fold1,0.0,0.0,100.0,0.0
313,davidchiii/news-headlines,0.0,0.0,100.0,0.0
314,Hyeonseo/finance_news_classifier,20.0,0.0,80.0,0.0
315,dogruermikail/bert-fine-tuning-sentiment-stocks-analyis-uncased,0.0,0.0,80.0,20.0
316,finiteautomata/beto-headlines-sentiment-analysis,0.0,0.0,100.0,0.0
317,MavisAJ/Sentiment_analysis_roberta_model,0.0,0.0,100.0,0.0
318,cardiffnlp/xlm-v-base-tweet-sentiment-ar,0.0,0.0,100.0,0.0
319,cardiffnlp/xlm-roberta-base-tweet-sentiment-ar,0.0,0.0,100.0,0.0
320,cardiffnlp/xlm-roberta-base-tweet-sentiment-es,0.0,0.0,100.0,0.0
321,benjaminbeilharz/bert-base-uncased-sentiment-classifier,0.0,0.0,100.0,0.0
322,oandreae/financial_sentiment_model,20.0,0.0,80.0,0.0
323,RogerKam/roberta_fine_tuned_sentiment_financial_news,20.0,0.0,80.0,0.0
324,UchihaMadara/phobert-finetuned-sentiment-analysis,20.0,0.0,80.0,0.0
325,Mawulom/Fine-Tuned-Bert_Base_Cased_Sentiment_Analysis,0.0,0.0,100.0,0.0
326,Abdelrahman-Rezk/emotion-english-distilroberta-base-fine_tuned_for_amazon_english_reviews_V03_on_100K_review,0.0,0.0,100.0,0.0
327,salohnana2018/ARABERT02-best-trail,0.0,0.0,100.0,0.0
328,neojex/testing,0.0,0.0,100.0,0.0
329,CultureBERT/roberta-large-adhocracy,0.0,0.0,100.0,0.0
330,yanezh/twiiter_try10_fold4,0.0,0.0,100.0,0.0
331,yanezh/twiiter_try15_fold3,20.0,0.0,80.0,0.0
332,Tejas3/distillbert_base_uncased_80,0.0,0.0,100.0,0.0
333,salohnana2018/ABSA-Pair-domainAdapt-CAMEL-MSA-HARD-ImbalancedHandling-absoluteWeights-gamma1-dropout01,0.0,0.0,100.0,0.0
334,salohnana2018/ABSA-Pair-domainAdapt-CAMEL-MSA-HARD-ImbalancedHandling-inv-prop-weights-gamma1,0.0,0.0,100.0,0.0
335,CMunch/fine_tuned_dota,20.0,0.0,80.0,0.0
336,intanm/sa10-clm-20230403-001-3,20.0,0.0,80.0,0.0
337,hazrulakmal/bert-base-uncased-finetuned,0.0,0.0,80.0,20.0
338,intanm/fin-sa-post-trained-indobert-base-finreports-p2-001,0.0,0.0,100.0,0.0
339,intanm/fin-sa-post-trained-indobert-base-combined,0.0,0.0,100.0,0.0
340,chinmayapani/panich,0.0,0.0,100.0,0.0
341,bvint/autotrain-sphere-lecture-demo-1671659193,0.0,0.0,100.0,0.0
342,DingYao/autotrain-fbert-singlish-1755361190,0.0,0.0,100.0,0.0
343,jordankrishnayah/robertaSentimentBiasTestwithMBIC,0.0,0.0,100.0,0.0
344,EMBEDDIA/bertic-tweetsentiment,0.0,0.0,100.0,0.0
345,hazrulakmal/benchmark-finetuned-distilbert,20.0,0.0,80.0,0.0
346,ultraleow/cloud4bert,0.0,0.0,100.0,0.0
347,researchaccount/sa_sub5,0.0,0.0,100.0,0.0
348,quesmed/tone,20.0,0.0,80.0,0.0
349,EMBEDDIA/english-tweetsentiment,0.0,0.0,100.0,0.0
350,BramVanroy/bert-base-multilingual-cased-hebban-reviews,0.0,0.0,80.0,20.0
351,nuriafari/my_model,0.0,0.0,100.0,0.0
352,CultureBERT/roberta-large-market,0.0,0.0,100.0,0.0
353,intanm/mlm_v1_20230327_fin_sa_10,0.0,0.0,100.0,0.0
354,DingYao/autotrain-fbert-singlish-2-1937065404,0.0,0.0,100.0,0.0
355,course5i/SEAD-L-6_H-384_A-12-mnli,0.0,0.0,80.0,20.0
356,intanm/100-finSA-finLM-v1-001,0.0,0.0,100.0,0.0
357,cassiepowell/RoBERTa-large-mnli-for-agreement,0.0,0.0,100.0,0.0
358,fassahat/anferico-bert-for-patents-finetuned-557k-patent-sentences,0.0,0.0,100.0,0.0
359,Anthos23/FS-finbert-fine-tuned-f1,0.0,0.0,100.0,0.0
360,researchaccount/sa_sub1,0.0,0.0,100.0,0.0
361,DunnBC22/fnet-large-Financial_Sentiment_Analysis_v3,0.0,0.0,60.0,40.0
362,hw2942/bert-base-chinese-finetuning-financial-news-sentiment-test,20.0,0.0,80.0,0.0
363,antypasd/twitter-roberta-base-sentiment-earthquake,0.0,0.0,100.0,0.0
364,rod16/v1_finetuning-sentiment-model-news-samples,20.0,0.0,80.0,0.0
365,A-Funakoshi/bert-base-japanese-v3-wrime-sentiment,0.0,0.0,100.0,0.0
366,data354/camembert-fr-covid-tweet-sentiment-classification,0.0,0.0,100.0,0.0
367,sismetanin/rubert_conversational-ru-sentiment-rureviews,0.0,0.0,100.0,0.0
368,EMBEDDIA/sloberta-tweetsentiment,0.0,0.0,100.0,0.0
369,salohnana2018/ARABERT02,0.0,0.0,100.0,0.0
370,slickdata/finetuned-Sentiment-classfication-ROBERTA-model,20.0,0.0,80.0,0.0
371,maegancp/finetuning-sentiment-model,0.0,0.0,80.0,20.0
372,laurens88/finetuning-crypto-tweet-sentiment-test2,20.0,0.0,80.0,0.0
373,dpeinado/twitter-roberta-base-sentiment-latest-apple-opinions,0.0,0.0,100.0,0.0
374,ongknsro/ACARISBERT-DistilBERT,0.0,0.0,100.0,0.0
375,DunnBC22/fnet-base-Financial_Sentiment_Analysis,0.0,0.0,60.0,40.0
376,vectorizer/sentiment_analysis_93k_entries,20.0,0.0,80.0,0.0
377,bekbote/autotrain-dl-phrasebank-53436126044,0.0,0.0,100.0,0.0
378,debashish68/roberta-sent-generali,20.0,0.0,80.0,0.0
379,BeChi87/train_model_noStopWord,0.0,0.0,100.0,0.0
380,cruiser/roberta_tweet_eval_finetuned,0.0,0.0,100.0,0.0
381,cassiepowell/LaBSE-for-agreement,0.0,0.0,100.0,0.0
382,Teeto/reviews-classification,20.0,0.0,80.0,0.0
383,gabrielkytz/novo,20.0,0.0,80.0,0.0
384,salohnana2018/ABSA-SentencePair-DAPT-HARD-SemEval-bert-base-Camel-MSA-run3,0.0,0.0,100.0,0.0
385,ruanchaves/mdeberta-v3-base-assin-entailment,0.0,0.0,100.0,0.0
386,profoz/deploy-mlops-demo,0.0,0.0,100.0,0.0
387,intanm/baseline_fin_sa_30,0.0,0.0,100.0,0.0
388,tiwanyan/distil_bert_fine_tune,20.0,0.0,80.0,0.0
389,cruiser/distilbert_model_kaggle_200_epoch,0.0,0.0,80.0,20.0
390,researchaccount/sa_sub4,0.0,0.0,100.0,0.0
391,raygx/xlmRoBERTa-NepSA,20.0,0.0,80.0,0.0
392,adnanakbr/emotion-english-distilroberta-base-fine_tuned_for_amazon_english_reviews_on_200K_review_v3,0.0,0.0,100.0,0.0
393,intanm/baseline_fin_sa_70,0.0,0.0,100.0,0.0
394,sasha/autotrain-RobertaBaseTweetEval-1281048990,0.0,0.0,100.0,0.0
395,BeChi87/train_model_Lastest1,0.0,0.0,100.0,0.0
396,raoh/yiran-nlp4,0.0,0.0,100.0,0.0
397,BeChi87/train_model_Lastest_16_8_lan2,0.0,0.0,100.0,0.0
398,Svetlana0303/Classfication_electra,20.0,0.0,80.0,0.0
399,raygx/BERT-NepSA-domainAdapt,0.0,0.0,80.0,20.0
400,fassahat/anferico-bert-for-patents-finetuned-150k-sentences,0.0,0.0,100.0,0.0
401,salohnana2018/ABSA-Pair-domainAdapt-Qarib-HARD-ImbalancedHandling-absoluteWeights-gamma1-dropout01,0.0,0.0,100.0,0.0
402,BeChi87/train_model_Lastest_21,0.0,0.0,100.0,0.0
403,KarelDO/lstm.CEBaB_confounding.food_service_positive.absa.5-class.seed_42,20.0,0.0,80.0,0.0
404,aarnphm/multi-length-text-classification-pipeline,0.0,0.0,100.0,0.0
405,blinjrm/finsent,0.0,0.0,100.0,0.0
406,yanezh/twiiter_try15_fold4,0.0,0.0,80.0,20.0
407,AlonCohen/RuSentNE-test,0.0,0.0,100.0,0.0
408,salohnana2018/MARBERTV02ABSAnew,0.0,0.0,100.0,0.0
409,raygx/distilBERT-NepSA,0.0,0.0,80.0,20.0
410,Narsil/finbert2,0.0,0.0,100.0,0.0
411,Robher51/Model3,0.0,0.0,100.0,0.0
412,salohnana2018/ABSA-Pair-domainAdapt-Camel-MSA-HARD-ImbalancedHandling-absoluteWeights-gamma1-run2,0.0,0.0,100.0,0.0
413,niksmer/RoBERTa-RILE,0.0,0.0,60.0,40.0
414,chrommium/sbert_large-finetuned-sent_in_news_sents_3lab,20.0,0.0,80.0,0.0
415,yanezh/twiiter_try13_fold1,0.0,0.0,100.0,0.0
416,ruanchaves/bert-base-portuguese-cased-assin-entailment,0.0,0.0,100.0,0.0
417,yanezh/twiiter_try10_fold0,0.0,0.0,100.0,0.0
418,intanm/mlm_v1_20230327_fin_sa_100,20.0,0.0,80.0,0.0
419,intanm/fin-sa-post-trained-indobert-base-finnews-p2-001,0.0,0.0,100.0,0.0
420,intanm/baseline_fin_sa_100,0.0,0.0,100.0,0.0
421,intanm/mlm_v1_20230327_fin_sa_90,0.0,0.0,80.0,20.0
422,BramVanroy/xlm-roberta-base-hebban-reviews,0.0,0.0,80.0,20.0
423,yanezh/twiiter_try11_fold3,0.0,0.0,100.0,0.0
424,cnut1648/biolinkbert-mnli,20.0,0.0,60.0,20.0
425,israel/testing_model,0.0,0.0,100.0,0.0
426,intanm/sa100-mlm-20230403-001-2,0.0,0.0,100.0,0.0
427,intanm/fin-sa-post-trained-indobert-base-finreport,0.0,0.0,100.0,0.0
428,sasha/autotrain-BERTBase-TweetEval-1281248998,0.0,0.0,100.0,0.0
429,ozoora/rubert-4.1poi,0.0,0.0,100.0,0.0
430,midwinter73/dipterv6,0.0,0.0,80.0,20.0
431,sasha/autotrain-DistilBERT-TweetEval-1281148991,0.0,0.0,100.0,0.0
432,yanezh/twiiter_try4_fold3,0.0,0.0,100.0,0.0
433,yanezh/twiiter_try5_fold3,0.0,0.0,100.0,0.0
434,asaderu-ai/ssclass_best,0.0,0.0,80.0,20.0
435,cruiser/distilbert_final_config_dropout,0.0,0.0,100.0,0.0
436,BeChi87/train_model_Lastestttt,0.0,0.0,100.0,0.0
437,yanezh/twiiter_try5_fold0,0.0,0.0,100.0,0.0
438,philschmid/finbert-tone-endpoint-ds,0.0,0.0,80.0,20.0
439,intanm/baseline_fin_sa_60,0.0,0.0,100.0,0.0
440,ymcnabb/dutch_threeway_sentiment_classification_v2,0.0,0.0,80.0,20.0
441,Bennet1996/finetuning-ESG-sentiment-model-distilbert,0.0,0.0,100.0,0.0
442,cardiffnlp/mbert-base-tweet-sentiment-fr,0.0,0.0,80.0,20.0
443,cardiffnlp/mbert-base-tweet-sentiment-pt,0.0,0.0,80.0,20.0
444,ecabott/nepali-sentiment-analyzer,0.0,0.0,100.0,0.0
445,aXhyra/presentation_sentiment_1234567,0.0,0.0,80.0,20.0
446,Pendo/finetuned-Sentiment-classfication-ROBERTA-Base-model,20.0,0.0,80.0,0.0
447,Christiansg/finetuning-sentiment_spanish-amazon-group23,0.0,0.0,80.0,20.0
448,bardsai/finance-sentiment-es-base,0.0,0.0,100.0,0.0
449,sismetanin/rubert_conversational-ru-sentiment-sentirueval2016,0.0,0.0,100.0,0.0
450,cardiffnlp/mbert-base-tweet-sentiment-ar,0.0,0.0,80.0,20.0
451,l3cube-pune/marathi-sentiment-subtitles,0.0,0.0,80.0,20.0
452,hw2942/bert-base-chinese-finetuning-financial-news-sentiment-test1,0.0,0.0,80.0,20.0
453,Ausbel/Vaccine-tweet-sentiments-analysis-model-2,0.0,0.0,80.0,20.0
454,nlp-chula/sentiment-finnlp-th,0.0,0.0,80.0,20.0
455,Psunrise/finetuning-customer-sentiment-model-300-samples,0.0,0.0,80.0,20.0
456,lucaordronneau/twitter-roberta-base-sentiment-latest-finetuned-FG-SINGLE_SENTENCE-NEWS,0.0,0.0,80.0,20.0
457,hazrulakmal/distilbert-optimised-finetuned-financial-sentiment,0.0,0.0,80.0,20.0
458,sakasa007/finetuning-sentiment-text-mining,0.0,0.0,80.0,20.0
459,sshs/phobert-base-vietnamese-sentiment,0.0,0.0,100.0,0.0
460,jcy204/wind_model2,20.0,0.0,80.0,0.0
461,tanoManzo/distilbert-attitude,0.0,0.0,100.0,0.0
462,memotirre90/Equipo16_gpt2-HotelSentiment,0.0,0.0,80.0,20.0
463,sasha/autotrain-RobertaBaseTweetEval-1281048989,0.0,0.0,100.0,0.0
464,AlonCohen/RuSentNE-iter-2,0.0,0.0,100.0,0.0
465,yanezh/twiiter_try11_fold2,0.0,0.0,100.0,0.0
466,eduardopds/distilbert-base-uncased-tweets,20.0,0.0,80.0,0.0
467,dshin/my_awesome_model,0.0,0.0,80.0,20.0
468,intanm/mlm_v1_20230327_fin_sa_60,0.0,0.0,80.0,20.0
469,salohnana2018/ABSA-Pair-domainAdapt-Camel-MSA-HARD-ImbalancedHandling-absoluteWeights-gamma1-fulldata,0.0,0.0,100.0,0.0
470,Q317/EmoraBert,20.0,0.0,80.0,0.0
471,intanm/mlm_v1_20230327_fin_sa_20,0.0,0.0,100.0,0.0
472,yanezh/twiiter_try15_fold2,0.0,0.0,60.0,40.0
473,BeChi87/train_model_Lastest_new,0.0,0.0,100.0,0.0
474,Q317/EmoraBert4,20.0,0.0,80.0,0.0
475,yanezh/twiiter_try13_fold4,0.0,0.0,100.0,0.0
476,intanm/mlm_v1_20230327_fin_sa_70,20.0,0.0,80.0,0.0
477,Rem59/autotrain-Test_2-789524315,0.0,0.0,100.0,0.0
478,sasha/autotrain-DistilBERT-TweetEval-1281148992,0.0,0.0,100.0,0.0
479,intanm/fin-sa-post-trained-indobert-large-finnews-p2-002,0.0,0.0,100.0,0.0
480,jcy204/cold_model,20.0,0.0,80.0,0.0
481,salohnana2018/ABSA-Pair-domainAdapt-Camel-MSA-HARD-ImbalancedHandling-absoluteWeights-gamma1-run1,0.0,0.0,100.0,0.0
482,W4nkel/microsoftTurkishTrain,20.0,0.0,80.0,0.0
483,Svetlana0303/Classfication_AlBERT,0.0,0.0,80.0,20.0
484,yanezh/twiiter_try13_fold2,0.0,0.0,100.0,0.0
485,fassahat/distilbert-base-uncased-finetuned-557k-patent-sentences,0.0,0.0,100.0,0.0
486,salohnana2018/ABSA-Pair-domainAdapt-CAMEL-MSA-HARD-ImbalancedHandling-norm_inv_const5-gamma3,0.0,0.0,100.0,0.0
487,salohnana2018/ABSA-single-domainAdapt-bert-base-MARBERT2-HARD,0.0,0.0,100.0,0.0
488,cruiser/final_model,20.0,0.0,80.0,0.0
489,Svetlana0303/Classfication_RoBERTa,20.0,0.0,80.0,0.0
490,kreynolds03/Solomon,0.0,0.0,100.0,0.0
491,KarelDO/lstm.CEBaB_confounding.uniform.absa.5-class.seed_42,0.0,0.0,80.0,20.0
492,BeChi87/train_model_Lastest_16_8_lan3,0.0,0.0,100.0,0.0
493,madmancity/bert2,0.0,0.0,100.0,0.0
494,sasha/autotrain-RobertaBaseTweetEval-1281048986,0.0,0.0,100.0,0.0
495,yanezh/twiiter_try13_fold3,0.0,0.0,100.0,0.0
496,Anwaarma/autotrain-testsen-65460136124,0.0,0.0,100.0,0.0
